Minimum level:2
Runtime (sec):0.6845444000
Support network with minimum level
29 17
17 47
73 74
74 30
53 60
53 68
60 54
68 22
67 43
43 66
70 52
52 53
21 18
18 35
28 18
62 38
38 51
37 3
3 29
3 9
27 2
27 49
2 33
2 69
49 45
66 42
42 64
41 10
47 16
47 71
34 28
58 5
5 25
5 63
22 54
69 70
51 13
0 27
71 48
48 1
4 72
72 32
30 20
20 8
1 39
39 40
39 15
40 24
24 58
59 73
16 50
57 14
25 12
35 36
36 26
61 62
61 21
15 59
15 19
19 23
32 7
31 55
55 4
65 37
46 44
44 34
6 57
6 61
56 30
26 56
23 6
54 31
50 41
45 67
33 65
64 46
63 11
