Minimum level:3
Runtime (sec):1.8442024000
Support network with minimum level
8 33
8 40
33 15
33 34
40 48
39 32
32 60
3 61
61 49
85 77
77 81
30 86
86 18
31 79
79 69
79 80
83 84
84 17
9 72
72 13
67 64
64 85
37 68
37 26
68 82
26 45
25 63
63 59
63 67
59 4
50 58
58 24
57 50
23 1
46 24
24 30
2 71
2 25
71 75
71 42
27 73
73 9
45 28
28 55
78 54
54 46
18 22
22 5
21 20
20 6
29 20
49 7
49 57
66 62
62 39
17 23
17 70
35 3
35 65
65 36
70 44
44 18
43 41
41 47
53 8
81 78
82 38
60 53
4 43
16 21
75 74
74 83
55 76
76 16
52 56
56 38
69 66
80 27
15 37
36 10
51 52
19 14
47 46
48 51
42 35
0 2
0 31
34 19
38 29
6 11
6 12
