Minimum level:3
Runtime (sec):11.0478528000
Support network with minimum level
30 51
51 32
51 70
26 18
18 16
28 18
23 65
65 66
59 60
60 72
39 48
48 28
53 40
53 54
40 25
54 46
45 1
50 26
25 5
5 63
5 20
33 31
31 24
29 34
34 30
37 38
37 53
38 21
16 12
12 13
12 33
67 11
4 68
4 67
68 69
3 17
3 35
17 55
35 62
35 47
47 71
71 59
20 36
36 46
0 43
0 45
43 2
46 7
63 8
19 9
58 44
44 64
21 22
22 39
41 57
57 58
52 56
56 19
55 56
66 15
24 14
32 52
70 52
69 23
15 37
15 41
8 10
72 29
2 49
2 61
27 42
27 4
42 28
49 50
49 3
64 16
61 27
62 6
