Minimum level:3
Runtime (sec):9.0023143000
Support network with minimum level
11 14
63 64
64 13
25 58
58 46
27 28
27 21
28 66
21 47
21 71
45 27
46 26
48 16
16 42
37 38
38 48
31 32
32 25
49 50
50 30
47 48
42 34
67 42
69 68
68 40
10 70
70 20
40 18
18 12
26 11
20 26
19 49
71 15
39 29
29 24
15 62
41 72
72 53
61 56
56 37
62 41
51 52
51 55
52 65
55 45
55 61
59 39
35 60
35 36
60 51
36 22
57 63
43 44
44 30
24 5
66 6
30 22
65 2
2 3
2 4
17 23
17 31
23 69
23 59
22 10
34 1
1 57
1 9
53 67
4 54
4 7
54 8
3 33
3 19
33 43
0 17
0 35
