Minimum level:4
Runtime (sec):99.6218710000
Support network with minimum level
3 6
6 65
6 57
39 38
38 51
50 40
40 69
48 42
42 72
7 32
32 54
31 21
21 45
21 53
22 9
72 20
20 22
33 34
34 17
41 44
44 48
81 82
82 29
58 82
66 35
35 4
78 16
16 5
17 68
68 52
67 47
47 63
47 43
15 59
59 41
49 50
49 10
43 77
77 81
65 66
65 8
75 1
1 55
24 76
76 27
0 2
0 75
2 67
2 3
11 14
11 25
25 80
64 11
70 64
18 64
69 60
69 70
79 39
80 13
61 62
61 28
62 56
28 22
27 7
55 19
73 74
74 26
26 12
60 18
63 48
52 18
30 36
36 31
71 46
46 23
53 46
54 49
19 30
19 15
56 73
29 78
51 58
57 37
37 79
23 24
23 33
45 61
45 71
