Minimum level:7
Runtime (sec):4.0091382000
Support network with minimum level
2 5
2 6
6 67
6 59
0 2
0 1
1 27
1 3
70 16
16 30
19 66
66 20
65 52
52 18
53 54
54 26
44 54
27 37
27 53
37 33
69 21
21 15
21 63
15 70
15 17
17 50
17 23
33 28
35 38
35 43
38 34
43 45
45 49
25 44
63 64
63 61
64 12
61 62
61 39
67 19
34 68
68 22
49 55
49 41
55 56
41 40
48 57
57 11
59 60
59 47
28 48
31 32
32 24
23 18
18 4
58 14
24 42
42 20
40 36
39 35
4 13
47 9
36 22
22 7
26 29
29 58
50 36
60 30
51 65
56 8
7 25
62 31
30 10
3 69
3 51
20 46
46 26
