Minimum level:3
Runtime (sec):10.1904861000
Support network with minimum level
54 28
28 50
16 28
56 40
40 59
52 40
46 73
73 35
25 27
27 61
21 18
18 34
32 22
22 70
0 2
0 1
2 51
2 63
1 49
59 3
48 30
30 44
35 38
38 60
37 13
63 39
39 52
39 10
23 64
64 71
49 24
24 25
67 68
68 53
45 46
60 36
36 42
34 56
33 47
47 32
41 43
43 44
61 62
62 6
3 26
3 41
26 74
74 29
29 48
29 5
51 9
9 17
9 23
53 54
53 55
55 66
8 19
19 20
19 12
71 72
71 67
72 11
17 65
17 69
66 50
65 15
15 31
69 21
57 37
70 58
58 4
6 8
20 16
44 57
42 7
31 14
31 33
50 45
