Minimum level:7
Runtime (sec):140.4692129000
Support network with minimum level
42 31
31 32
31 43
36 71
71 24
33 59
59 79
59 63
0 34
0 15
34 68
15 41
54 20
20 40
25 46
46 72
45 36
69 70
70 52
51 48
48 19
17 26
26 18
72 26
61 21
21 9
80 74
74 62
47 3
47 51
3 5
3 6
16 11
19 78
41 1
1 81
1 33
29 42
60 30
30 2
68 50
50 45
49 56
56 73
55 76
76 28
75 60
79 80
73 44
44 16
38 44
23 10
10 12
10 17
65 66
66 24
5 54
32 67
43 27
43 49
28 61
27 47
52 22
37 62
62 38
64 58
58 40
39 18
18 55
24 75
7 23
7 53
53 39
53 65
81 57
57 64
57 29
67 82
67 7
82 68
22 37
63 4
77 14
78 25
40 8
6 35
6 13
35 77
35 69
