Minimum level:2
Runtime (sec):21.2848711000
Support network with minimum level
5 10
5 17
17 39
17 71
64 6
6 11
19 23
23 69
23 51
61 62
61 14
62 20
58 52
52 44
56 52
55 19
51 56
51 7
7 47
39 53
53 9
53 54
67 68
68 72
73 74
73 65
74 58
65 15
22 1
1 49
72 40
40 25
54 29
29 37
37 63
37 45
63 18
45 38
44 61
43 42
42 36
41 21
21 22
28 26
26 43
70 26
46 55
24 64
18 60
71 18
60 57
59 24
69 70
47 66
36 48
35 41
0 35
31 32
31 3
32 73
20 12
25 28
27 59
34 38
38 50
16 46
48 13
50 30
30 27
33 34
49 31
15 2
15 16
66 67
2 33
2 5
4 8
57 4
