Minimum level:4
Runtime (sec):4.4666178000
Support network with minimum level
68 56
56 12
55 56
82 18
18 20
26 78
78 80
77 45
45 26
80 54
54 8
53 28
28 44
41 42
42 86
71 81
81 72
1 75
75 57
51 52
51 66
52 17
66 85
93 94
94 60
59 37
37 74
65 93
65 83
83 4
23 11
88 24
24 32
5 53
5 25
25 77
25 88
38 10
60 62
62 20
61 15
15 3
79 40
40 70
4 7
97 1
97 98
98 90
72 73
21 22
22 69
19 21
16 36
36 23
35 16
3 95
57 65
91 92
91 58
92 76
58 38
64 41
87 5
47 29
29 19
29 30
44 48
48 91
85 13
86 76
2 43
2 31
43 33
31 51
39 14
39 50
50 79
49 2
27 35
63 64
63 99
99 39
99 100
90 82
6 46
46 89
84 26
17 55
17 61
95 87
73 96
96 67
74 60
30 6
69 97
32 9
70 84
0 49
0 47
100 44
33 63
89 71
76 68
67 34
34 59
20 27
