Minimum level:4
Runtime (sec):0.5056244000
Support network with minimum level
54 5
5 27
5 19
88 52
52 30
59 60
60 58
57 76
76 44
75 82
82 39
81 14
85 41
41 22
68 86
86 58
25 37
37 7
39 40
40 33
30 42
32 13
47 65
47 20
65 73
20 78
19 25
53 6
77 54
78 2
49 79
49 50
79 62
50 24
29 75
56 38
38 83
23 70
70 29
69 70
21 46
46 18
87 88
67 68
58 28
28 32
55 53
55 56
7 61
24 51
61 63
44 85
15 71
15 23
71 16
63 64
62 89
43 80
80 11
27 67
17 31
17 66
31 10
66 18
73 74
74 48
64 36
35 17
45 69
45 3
3 77
3 55
18 36
51 34
51 91
16 8
36 72
72 57
2 43
90 26
26 12
91 59
33 92
92 90
34 21
42 22
22 9
89 35
48 84
84 49
83 47
11 87
11 81
0 1
0 15
1 45
1 4
