Minimum level:4
Runtime (sec):12.2513346000
Support network with minimum level
57 17
17 19
17 59
65 58
58 48
6 66
6 9
66 10
34 56
56 45
55 51
51 57
54 30
30 8
5 22
22 29
45 46
46 28
31 32
32 24
23 38
38 41
37 49
49 50
67 2
2 3
2 61
24 68
68 42
33 55
43 44
44 64
50 53
25 16
25 27
16 24
27 26
4 33
19 20
19 5
20 36
35 37
36 21
60 43
59 18
26 34
64 34
41 52
41 25
52 42
61 15
15 62
15 39
62 35
39 70
29 7
29 65
47 63
47 14
63 64
42 1
28 6
21 31
69 23
70 4
1 40
1 47
40 60
10 11
18 12
0 67
0 69
53 13
48 54
