Minimum level:1
Runtime (sec):0.4703134000
Support network with minimum level
66 23
23 76
32 68
68 30
67 24
24 6
22 24
36 71
71 43
71 72
5 49
5 7
49 19
49 77
7 69
7 34
18 11
79 2
83 80
80 58
35 84
84 13
33 36
61 62
62 60
29 18
58 32
63 35
44 64
64 17
30 45
45 53
27 47
47 28
65 26
65 66
26 22
10 50
50 70
77 78
78 74
31 75
75 25
53 14
28 46
46 9
17 79
17 39
39 20
69 10
34 31
43 44
0 73
73 37
19 16
72 81
55 4
4 5
81 56
82 65
56 12
16 51
51 33
51 52
52 40
6 29
40 56
25 82
42 48
48 55
1 3
1 42
41 27
70 59
21 41
21 57
57 1
57 83
76 67
59 15
15 63
60 38
37 21
74 32
38 8
20 54
54 61
