Minimum level:4
Runtime (sec):56.6130794000
Support network with minimum level
40 69
69 35
77 73
73 78
78 34
75 76
75 57
76 74
57 79
57 15
3 19
19 58
59 32
32 60
60 7
34 18
18 41
25 26
26 12
22 26
56 27
27 50
67 6
67 68
68 36
50 47
49 44
44 34
33 62
62 2
61 62
51 52
51 49
52 65
4 67
55 56
42 46
46 16
36 80
45 66
66 55
65 3
1 61
1 43
43 51
43 75
80 28
28 22
5 20
20 11
58 54
79 80
29 25
47 30
30 16
8 48
8 77
48 37
21 14
72 42
41 42
74 9
17 23
17 29
23 1
63 64
64 24
31 38
31 13
38 59
11 21
11 31
53 39
39 33
54 40
35 45
35 71
71 8
71 72
70 24
24 5
15 4
16 70
37 63
37 10
0 53
0 17
