Minimum level:3
Runtime (sec):1.3648565000
Support network with minimum level
33 17
33 99
17 49
99 100
85 89
89 86
48 32
32 82
52 94
94 90
93 94
30 62
62 21
49 4
41 18
18 9
63 64
64 42
31 30
67 36
36 72
56 68
68 40
78 87
87 48
91 29
91 92
29 63
29 43
92 88
65 66
66 70
25 38
38 84
73 74
74 44
35 69
69 91
59 14
3 60
3 35
60 46
28 13
0 1
0 45
1 15
1 5
45 2
27 31
86 28
90 48
42 56
51 42
47 52
71 22
22 20
72 95
8 77
77 97
96 50
50 54
97 85
97 98
98 96
95 78
55 67
21 23
43 7
44 39
88 16
16 51
11 26
26 34
53 54
54 10
15 65
15 19
19 61
19 76
61 93
61 6
76 37
75 33
20 41
82 24
24 20
23 11
81 12
37 73
37 79
84 53
79 80
80 47
100 58
58 25
70 71
46 8
40 28
83 81
34 59
57 55
6 83
6 27
39 57
2 3
2 75
