Minimum level:4
Runtime (sec):3.3759451000
Support network with minimum level
29 35
35 59
35 60
27 28
27 2
28 63
2 41
32 51
51 54
48 66
66 4
68 66
41 17
41 42
17 3
42 58
3 23
23 13
23 24
24 5
5 8
5 52
22 16
16 55
15 14
55 67
55 56
67 29
56 26
25 12
69 70
69 49
70 68
49 15
1 33
33 45
52 7
54 36
53 39
39 40
19 21
19 32
21 53
21 50
31 25
64 46
46 20
45 6
6 43
34 44
44 26
57 58
58 69
65 37
37 38
59 61
59 30
60 36
61 62
62 18
38 22
40 34
47 57
63 48
18 64
43 19
43 47
10 31
10 65
26 11
36 20
50 10
30 9
0 27
0 1
20 34
