Minimum level:7
Runtime (sec):0.3387901000
Support network with minimum level
47 83
47 3
83 48
3 7
3 75
90 34
34 37
33 21
21 31
21 79
88 76
76 28
46 76
66 22
22 71
41 42
42 15
57 58
58 40
37 78
78 62
77 88
87 80
80 36
79 10
10 73
10 14
1 89
1 18
89 45
89 90
18 67
17 35
35 29
35 55
28 24
36 28
52 48
48 12
19 84
84 32
45 20
20 51
38 46
81 47
81 82
82 66
65 63
63 70
55 43
43 87
68 56
56 44
53 19
50 54
54 33
4 65
8 49
8 26
49 50
26 38
27 72
72 36
71 9
16 66
30 24
24 11
51 81
51 52
7 74
74 16
73 85
85 23
25 2
25 27
69 8
70 57
62 64
64 5
40 38
39 30
29 61
61 1
75 77
75 69
86 25
67 53
67 68
0 17
44 60
60 86
23 39
23 13
31 41
15 59
59 6
32 4
