Minimum level:3
Runtime (sec):48.6376683000
Support network with minimum level
55 14
53 56
56 60
69 28
28 68
8 70
8 10
70 9
37 41
41 42
73 74
74 16
51 22
22 33
2 52
2 45
52 69
45 15
54 11
27 53
27 19
19 44
68 30
30 42
49 30
66 50
50 76
4 35
4 32
35 61
32 72
31 64
64 62
63 3
76 46
46 44
15 25
15 21
12 67
12 38
67 75
38 27
42 40
62 55
61 77
77 7
75 26
26 80
25 4
81 39
39 82
82 57
40 58
58 63
57 20
20 18
44 20
29 8
29 49
80 36
79 65
65 66
65 73
18 13
36 24
24 31
23 37
21 23
21 51
78 34
34 5
1 48
48 6
47 48
16 43
60 54
71 60
72 29
0 1
0 2
17 79
17 81
7 59
7 17
33 78
33 47
43 12
59 71
