Minimum level:4
Runtime (sec):3.7377301001
Support network with minimum level
64 8
5 93
93 11
89 90
90 84
95 96
96 78
40 30
30 16
2 19
19 51
19 50
85 48
48 60
17 86
86 80
24 18
18 15
56 66
66 57
65 94
94 9
11 13
58 38
38 26
41 44
44 42
43 27
27 39
52 65
91 71
91 92
71 72
92 40
67 88
88 68
87 97
97 98
82 52
73 52
57 74
74 58
78 20
1 35
35 36
35 4
59 46
46 3
60 68
0 23
0 24
23 1
23 31
25 87
76 64
63 64
81 82
80 34
34 56
39 7
39 67
36 28
28 33
32 40
4 47
4 49
47 29
47 85
49 53
84 58
83 84
72 70
16 22
79 32
29 32
42 73
75 77
77 89
20 76
33 61
61 81
98 14
26 12
55 75
55 62
62 56
51 21
51 63
50 20
53 54
53 10
54 43
22 100
21 6
70 79
69 59
31 45
31 25
45 69
45 83
99 95
100 5
37 41
37 17
3 37
3 55
15 99
15 2
68 91
