Minimum level:3
Runtime (sec):0.045545199885964394
Support network with minimum level
21 67
67 71
67 10
47 22
47 53
22 72
53 48
77 55
55 37
73 78
78 45
46 74
74 42
29 39
29 8
39 57
8 50
8 15
28 18
18 26
31 80
80 32
79 40
40 38
57 30
1 5
1 33
33 6
64 27
27 47
68 56
56 11
37 49
49 65
65 2
65 66
50 32
15 21
71 75
75 76
10 68
41 36
36 34
70 52
52 43
66 64
63 46
43 58
58 44
30 20
19 77
25 23
25 79
23 59
20 24
0 69
69 81
69 70
59 60
48 17
42 54
54 9
38 26
26 4
81 19
81 82
51 63
24 1
32 16
16 42
62 16
34 12
82 28
61 62
60 41
35 3
3 7
3 29
7 13
72 25
76 61
17 44
44 14
2 35
2 73
45 51
45 31
