Input file,|A_N|,|B_N|,|C_N|
n=7_r=12_0.txt,19200,24,6
n=7_r=12_1.txt,19200,72,18
n=7_r=12_2.txt,15300,112,4
n=7_r=12_3.txt,21420,140,8
n=7_r=12_4.txt,53760,90,36
n=7_r=12_5.txt,25740,144,20
n=7_r=12_6.txt,30240,120,48
n=7_r=12_7.txt,26208,96,24
n=7_r=12_8.txt,13824,72,72
n=7_r=12_9.txt,20412,160,128
n=7_r=12_10.txt,71064,196,32
n=7_r=12_11.txt,23760,216,120
n=7_r=12_12.txt,37800,80,16
n=7_r=12_13.txt,42336,150,96
n=7_r=12_14.txt,17136,168,24
n=7_r=12_15.txt,22680,240,96
n=7_r=12_16.txt,22680,80,32
n=7_r=12_17.txt,74880,288,36
n=7_r=12_18.txt,71064,196,32
n=7_r=12_19.txt,75600,240,48
n=7_r=12_20.txt,12800,36,9
n=7_r=12_21.txt,7020,64,8
n=7_r=12_22.txt,13608,240,192
n=7_r=12_23.txt,49152,54,54
n=7_r=12_24.txt,32640,252,18
n=7_r=12_25.txt,40320,48,24
n=7_r=12_26.txt,13824,32,12
n=7_r=12_27.txt,23814,200,128
n=7_r=12_28.txt,28836,192,16
n=7_r=12_29.txt,108864,320,96
n=7_r=12_30.txt,134784,768,72
n=7_r=12_31.txt,14742,160,32
n=7_r=12_32.txt,27744,98,2
n=7_r=12_33.txt,59904,432,108
n=7_r=12_34.txt,26208,120,24
n=7_r=12_35.txt,16380,80,8
n=7_r=12_36.txt,21600,32,8
n=7_r=12_37.txt,26880,30,12
n=7_r=12_38.txt,14976,144,36
n=7_r=12_39.txt,8424,64,16
n=7_r=12_40.txt,36855,320,32
n=7_r=12_41.txt,33048,224,32
n=7_r=12_42.txt,24480,56,4
n=7_r=12_43.txt,40320,60,24
n=7_r=12_44.txt,15360,36,18
n=7_r=12_45.txt,42120,128,16
n=7_r=12_46.txt,38556,280,32
n=7_r=12_47.txt,27450,296,4
n=7_r=12_48.txt,19584,252,36
n=7_r=12_49.txt,13689,256,16
n=7_r=12_50.txt,15360,108,54
n=7_r=12_51.txt,30240,120,48
n=7_r=12_52.txt,10530,128,16
n=7_r=12_53.txt,14040,192,24
n=7_r=12_54.txt,9792,28,4
n=7_r=12_55.txt,28800,144,36
n=7_r=12_56.txt,33048,224,32
n=7_r=12_57.txt,6435,144,20
n=7_r=12_58.txt,58752,168,24
n=7_r=12_59.txt,7776,96,96
n=7_r=12_60.txt,13824,72,72
n=7_r=12_61.txt,67860,224,28
n=7_r=12_62.txt,74250,288,40
n=7_r=12_63.txt,32040,96,4
n=7_r=12_64.txt,10368,48,48
n=7_r=12_65.txt,45864,300,48
n=7_r=12_66.txt,25600,36,9
n=7_r=12_67.txt,26112,126,18
n=7_r=12_68.txt,28080,192,24
n=7_r=12_69.txt,24300,128,32
n=7_r=12_70.txt,48384,180,144
n=7_r=12_71.txt,7800,96,6
n=7_r=12_72.txt,47250,160,16
n=7_r=12_73.txt,58752,168,24
n=7_r=12_74.txt,21216,168,6
n=7_r=12_75.txt,69300,180,40
n=7_r=12_76.txt,16320,84,6
n=7_r=12_77.txt,9360,96,12
n=7_r=12_78.txt,24960,48,6
n=7_r=12_79.txt,16380,80,8
n=7_r=12_80.txt,37024,144,3
n=7_r=12_81.txt,16875,128,8
n=7_r=12_82.txt,22464,96,24
n=7_r=12_83.txt,24192,60,48
n=7_r=12_84.txt,14040,64,8
n=7_r=12_85.txt,59904,144,36
n=7_r=12_86.txt,26400,108,30
n=7_r=12_87.txt,20160,180,72
n=7_r=12_88.txt,33696,192,48
n=7_r=12_89.txt,46080,216,108
n=7_r=12_90.txt,14418,192,16
n=7_r=12_91.txt,15600,96,6
n=7_r=12_92.txt,57120,210,12
n=7_r=12_93.txt,22880,108,15
n=7_r=12_94.txt,33930,224,28
n=7_r=12_95.txt,10800,96,24
n=7_r=12_96.txt,73728,108,108
n=7_r=12_97.txt,14175,160,32
n=7_r=12_98.txt,22680,240,96
n=7_r=12_99.txt,24192,180,144
