Input file,|A_N|,|B_N|,|C_N|
n=5_r=8_0.txt,360,8,4
n=5_r=8_1.txt,1320,54,30
n=5_r=8_2.txt,640,18,9
n=5_r=8_3.txt,1728,32,12
n=5_r=8_4.txt,576,12,12
n=5_r=8_5.txt,2016,30,24
n=5_r=8_6.txt,1008,24,24
n=5_r=8_7.txt,1664,36,9
n=5_r=8_8.txt,1080,16,8
n=5_r=8_9.txt,504,10,8
n=5_r=8_10.txt,405,32,16
n=5_r=8_11.txt,2640,54,30
n=5_r=8_12.txt,1650,36,10
n=5_r=8_13.txt,816,14,2
n=5_r=8_14.txt,800,12,3
n=5_r=8_15.txt,990,36,20
n=5_r=8_16.txt,816,14,2
n=5_r=8_17.txt,810,32,16
n=5_r=8_18.txt,504,10,8
n=5_r=8_19.txt,816,14,2
n=5_r=8_20.txt,1680,30,12
n=5_r=8_21.txt,1040,24,3
n=5_r=8_22.txt,1170,32,4
n=5_r=8_23.txt,1200,24,6
n=5_r=8_24.txt,936,48,12
n=5_r=8_25.txt,1440,24,12
n=5_r=8_26.txt,864,24,24
n=5_r=8_27.txt,1872,48,12
n=5_r=8_28.txt,720,24,12
n=5_r=8_29.txt,2310,45,20
n=5_r=8_30.txt,2136,72,6
n=5_r=8_31.txt,2640,54,30
n=5_r=8_32.txt,375,16,2
n=5_r=8_33.txt,1440,32,6
n=5_r=8_34.txt,1050,20,4
n=5_r=8_35.txt,1170,32,4
n=5_r=8_36.txt,1536,18,18
n=5_r=8_37.txt,720,24,12
n=5_r=8_38.txt,816,42,6
n=5_r=8_39.txt,378,20,16
n=5_r=8_40.txt,384,18,18
n=5_r=8_41.txt,1080,48,24
n=5_r=8_42.txt,2268,40,32
n=5_r=8_43.txt,585,32,4
n=5_r=8_44.txt,432,8,8
n=5_r=8_45.txt,840,30,12
n=5_r=8_46.txt,1050,20,4
n=5_r=8_47.txt,288,12,12
n=5_r=8_48.txt,1404,32,8
n=5_r=8_49.txt,432,24,24
n=5_r=8_50.txt,780,16,2
n=5_r=8_51.txt,800,12,3
n=5_r=8_52.txt,1680,30,12
n=5_r=8_53.txt,1920,36,18
n=5_r=8_54.txt,1248,24,6
n=5_r=8_55.txt,936,48,12
n=5_r=8_56.txt,672,12,12
n=5_r=8_57.txt,416,12,3
n=5_r=8_58.txt,756,16,16
n=5_r=8_59.txt,1440,24,12
n=5_r=8_60.txt,960,36,18
n=5_r=8_61.txt,960,12,6
n=5_r=8_62.txt,676,16,1
n=5_r=8_63.txt,780,16,2
n=5_r=8_64.txt,864,24,24
n=5_r=8_65.txt,1521,64,4
n=5_r=8_66.txt,1224,28,4
n=5_r=8_67.txt,1200,24,6
n=5_r=8_68.txt,1521,64,4
n=5_r=8_69.txt,1260,20,8
n=5_r=8_70.txt,936,48,12
n=5_r=8_71.txt,612,28,4
n=5_r=8_72.txt,1008,30,24
n=5_r=8_73.txt,1020,28,2
n=5_r=8_74.txt,576,36,36
n=5_r=8_75.txt,720,24,12
n=5_r=8_76.txt,420,10,4
n=5_r=8_77.txt,800,12,3
n=5_r=8_78.txt,360,8,4
n=5_r=8_79.txt,990,36,20
n=5_r=8_80.txt,1008,10,8
n=5_r=8_81.txt,624,24,6
n=5_r=8_82.txt,819,40,8
n=5_r=8_83.txt,468,16,4
n=5_r=8_84.txt,1068,24,2
n=5_r=8_85.txt,1008,30,24
n=5_r=8_86.txt,468,16,4
n=5_r=8_87.txt,720,8,4
n=5_r=8_88.txt,600,24,6
n=5_r=8_89.txt,585,32,4
n=5_r=8_90.txt,1125,32,4
n=5_r=8_91.txt,1872,48,12
n=5_r=8_92.txt,480,12,6
n=5_r=8_93.txt,1920,36,18
n=5_r=8_94.txt,810,32,16
n=5_r=8_95.txt,1536,18,18
n=5_r=8_96.txt,650,16,1
n=5_r=8_97.txt,816,42,6
n=5_r=8_98.txt,819,40,8
n=5_r=8_99.txt,576,12,12
