Input file,|A_N|,|B_N|,|C_N|
n=10_r=18_0.txt,5397840,1400,64
n=10_r=18_1.txt,5160960,540,216
n=10_r=18_2.txt,9979200,2160,480
n=10_r=18_3.txt,12247200,3840,768
n=10_r=18_4.txt,2948400,1920,96
n=10_r=18_5.txt,4354560,480,192
n=10_r=18_6.txt,4354560,4320,1728
n=10_r=18_7.txt,2875392,2592,648
n=10_r=18_8.txt,1797120,576,72
n=10_r=18_9.txt,898560,576,72
n=10_r=18_10.txt,13970880,2700,960
n=10_r=18_11.txt,2106000,1536,48
n=10_r=18_12.txt,15206400,3888,1080
n=10_r=18_13.txt,2754000,896,16
n=10_r=18_14.txt,6967296,2160,1728
n=10_r=18_15.txt,1224720,640,256
n=10_r=18_16.txt,1658880,864,432
n=10_r=18_17.txt,3397140,2688,64
n=10_r=18_18.txt,9459450,3600,160
n=10_r=18_19.txt,3631200,2016,6
n=10_r=18_20.txt,3564000,576,80
n=10_r=18_21.txt,5765760,1080,120
n=10_r=18_22.txt,3240000,768,48
n=10_r=18_23.txt,7076160,1536,192
n=10_r=18_24.txt,3650400,1536,24
n=10_r=18_25.txt,950400,432,120
n=10_r=18_26.txt,8985600,3456,216
n=10_r=18_27.txt,2494800,2160,480
n=10_r=18_28.txt,1071000,560,8
n=10_r=18_29.txt,580992,504,6
n=10_r=18_30.txt,12337920,6720,144
n=10_r=18_31.txt,1958400,1008,36
n=10_r=18_32.txt,21715200,4032,252
n=10_r=18_33.txt,1870000,504,5
n=10_r=18_34.txt,3110400,384,96
n=10_r=18_35.txt,5397840,3360,192
n=10_r=18_36.txt,1284660,2368,16
n=10_r=18_37.txt,2392320,1080,36
n=10_r=18_38.txt,6514560,1344,168
n=10_r=18_39.txt,1654848,448,4
n=10_r=18_40.txt,4318272,2100,192
n=10_r=18_41.txt,6534000,1296,200
n=10_r=18_42.txt,6633900,2560,128
n=10_r=18_43.txt,2073600,576,144
n=10_r=18_44.txt,5806080,2160,864
n=10_r=18_45.txt,4665600,256,64
n=10_r=18_46.txt,5832000,1536,192
n=10_r=18_47.txt,7344000,4032,72
n=10_r=18_48.txt,9525600,2400,384
n=10_r=18_49.txt,7102464,882,18
n=10_r=18_50.txt,449280,576,72
n=10_r=18_51.txt,1468800,672,24
n=10_r=18_52.txt,2059200,2592,180
n=10_r=18_53.txt,7257600,480,96
n=10_r=18_54.txt,4422600,1280,64
n=10_r=18_55.txt,633600,216,60
n=10_r=18_56.txt,11943936,2304,864
n=10_r=18_57.txt,11985408,7056,144
n=10_r=18_58.txt,8971200,1440,24
n=10_r=18_59.txt,4989600,2880,240
n=10_r=18_60.txt,4957200,5376,192
n=10_r=18_61.txt,2274480,1024,128
n=10_r=18_62.txt,6132672,1920,96
n=10_r=18_63.txt,972000,768,96
n=10_r=18_64.txt,1468800,672,24
n=10_r=18_65.txt,1123200,384,24
n=10_r=18_66.txt,12386304,1620,1296
n=10_r=18_67.txt,1592136,1280,256
n=10_r=18_68.txt,8996400,1400,32
n=10_r=18_69.txt,2903040,720,288
n=10_r=18_70.txt,2768256,1536,48
n=10_r=18_71.txt,1572480,480,48
n=10_r=18_72.txt,6289920,1440,144
n=10_r=18_73.txt,2764800,864,216
n=10_r=18_74.txt,2910600,900,160
n=10_r=18_75.txt,10782720,1152,144
n=10_r=18_76.txt,2520000,480,24
n=10_r=18_77.txt,5382720,1440,48
n=10_r=18_78.txt,5256576,2048,48
n=10_r=18_79.txt,1382400,288,72
n=10_r=18_80.txt,8668296,2000,256
n=10_r=18_81.txt,3559140,2048,16
n=10_r=18_82.txt,4852224,3072,288
n=10_r=18_83.txt,6462720,1512,120
n=10_r=18_84.txt,4386816,630,72
n=10_r=18_85.txt,1474200,640,32
n=10_r=18_86.txt,3145500,1344,8
n=10_r=18_87.txt,17107200,5184,1440
n=10_r=18_88.txt,4118400,2592,180
n=10_r=18_89.txt,7008768,2304,144
n=10_r=18_90.txt,829440,288,144
n=10_r=18_91.txt,3118500,1440,160
n=10_r=18_92.txt,6739200,2304,144
n=10_r=18_93.txt,2200000,144,5
n=10_r=18_94.txt,4073472,1008,36
n=10_r=18_95.txt,1548288,540,432
n=10_r=18_96.txt,1382400,288,72
n=10_r=18_97.txt,4354560,1440,576
n=10_r=18_98.txt,2286144,1200,768
n=10_r=18_99.txt,3369600,1024,24
