Input file,|A_N|,|B_N|,|C_N|
n=4_r=6_0.txt,90,8,4
n=4_r=6_1.txt,108,8,8
n=4_r=6_2.txt,120,4,2
n=4_r=6_3.txt,200,12,3
n=4_r=6_4.txt,160,6,3
n=4_r=6_5.txt,150,8,2
n=4_r=6_6.txt,144,12,12
n=4_r=6_7.txt,96,6,6
n=4_r=6_8.txt,156,8,2
n=4_r=6_9.txt,234,16,4
n=4_r=6_10.txt,180,8,4
n=4_r=6_11.txt,96,6,6
n=4_r=6_12.txt,128,9,9
n=4_r=6_13.txt,189,20,16
n=4_r=6_14.txt,135,16,8
n=4_r=6_15.txt,180,8,4
n=4_r=6_16.txt,84,5,4
n=4_r=6_17.txt,267,24,2
n=4_r=6_18.txt,288,12,12
n=4_r=6_19.txt,144,12,12
n=4_r=6_20.txt,105,10,4
n=4_r=6_21.txt,189,20,16
n=4_r=6_22.txt,120,12,6
n=4_r=6_23.txt,78,8,2
n=4_r=6_24.txt,96,6,6
n=4_r=6_25.txt,150,8,2
n=4_r=6_26.txt,168,15,12
n=4_r=6_27.txt,120,12,6
n=4_r=6_28.txt,240,12,6
n=4_r=6_29.txt,160,6,3
n=4_r=6_30.txt,136,7,1
n=4_r=6_31.txt,168,4,4
n=4_r=6_32.txt,275,18,5
n=4_r=6_33.txt,90,8,4
n=4_r=6_34.txt,160,6,3
n=4_r=6_35.txt,336,12,12
n=4_r=6_36.txt,120,4,2
n=4_r=6_37.txt,96,6,6
n=4_r=6_38.txt,130,8,1
n=4_r=6_39.txt,100,4,1
n=4_r=6_40.txt,306,28,4
n=4_r=6_41.txt,225,16,4
n=4_r=6_42.txt,168,15,12
n=4_r=6_43.txt,135,16,8
n=4_r=6_44.txt,233,21,1
n=4_r=6_45.txt,120,12,6
n=4_r=6_46.txt,135,16,8
n=4_r=6_47.txt,168,5,4
n=4_r=6_48.txt,55,9,5
n=4_r=6_49.txt,204,14,2
n=4_r=6_50.txt,220,9,5
n=4_r=6_51.txt,234,16,4
n=4_r=6_52.txt,180,8,4
n=4_r=6_53.txt,234,16,4
n=4_r=6_54.txt,256,9,9
n=4_r=6_55.txt,178,12,1
n=4_r=6_56.txt,234,16,4
n=4_r=6_57.txt,78,8,2
n=4_r=6_58.txt,192,18,18
n=4_r=6_59.txt,180,8,4
n=4_r=6_60.txt,136,7,1
n=4_r=6_61.txt,105,8,4
n=4_r=6_62.txt,240,12,6
n=4_r=6_63.txt,220,9,5
n=4_r=6_64.txt,180,8,4
n=4_r=6_65.txt,192,6,6
n=4_r=6_66.txt,240,12,6
n=4_r=6_67.txt,90,8,4
n=4_r=6_68.txt,160,6,3
n=4_r=6_69.txt,180,8,4
n=4_r=6_70.txt,60,4,2
n=4_r=6_71.txt,288,16,6
n=4_r=6_72.txt,252,10,8
n=4_r=6_73.txt,192,6,6
n=4_r=6_74.txt,144,12,12
n=4_r=6_75.txt,252,10,8
n=4_r=6_76.txt,150,8,2
n=4_r=6_77.txt,75,8,2
n=4_r=6_78.txt,90,8,4
n=4_r=6_79.txt,80,6,3
n=4_r=6_80.txt,210,10,4
n=4_r=6_81.txt,192,18,18
n=4_r=6_82.txt,256,9,9
n=4_r=6_83.txt,170,14,1
n=4_r=6_84.txt,125,8,1
n=4_r=6_85.txt,210,8,4
n=4_r=6_86.txt,144,12,12
n=4_r=6_87.txt,136,7,1
n=4_r=6_88.txt,210,10,4
n=4_r=6_89.txt,256,9,9
n=4_r=6_90.txt,96,6,6
n=4_r=6_91.txt,189,20,16
n=4_r=6_92.txt,120,12,6
n=4_r=6_93.txt,252,10,8
n=4_r=6_94.txt,104,12,3
n=4_r=6_95.txt,165,18,10
n=4_r=6_96.txt,240,12,6
n=4_r=6_97.txt,160,6,3
n=4_r=6_98.txt,130,8,1
n=4_r=6_99.txt,120,12,6
