Input file,|A_N|,|B_N|,|C_N|
n=11_r=20_0.txt,3893760,1152,36
n=11_r=20_1.txt,108864000,17280,1728
n=11_r=20_2.txt,17625600,1344,48
n=11_r=20_3.txt,7862400,960,48
n=11_r=20_4.txt,15240960,3600,1152
n=11_r=20_5.txt,5767200,768,16
n=11_r=20_6.txt,61776000,3456,120
n=11_r=20_7.txt,80870400,4608,288
n=11_r=20_8.txt,91445760,2400,768
n=11_r=20_9.txt,24960000,1152,18
n=11_r=20_10.txt,9884160,288,40
n=11_r=20_11.txt,17971200,1152,72
n=11_r=20_12.txt,32348160,2304,288
n=11_r=20_13.txt,17083872,6144,96
n=11_r=20_14.txt,73820160,13824,216
n=11_r=20_15.txt,77837760,8640,960
n=11_r=20_16.txt,16216200,2880,160
n=11_r=20_17.txt,13880160,2240,128
n=11_r=20_18.txt,14556672,1536,384
n=11_r=20_19.txt,7864320,108,54
n=11_r=20_20.txt,19813248,2400,384
n=11_r=20_21.txt,38755584,2880,192
n=11_r=20_22.txt,26127360,2304,1152
n=11_r=20_23.txt,35830080,6048,840
n=11_r=20_24.txt,18144000,2880,288
n=11_r=20_25.txt,8663616,2304,12
n=11_r=20_26.txt,11456640,896,16
n=11_r=20_27.txt,11489280,1134,90
n=11_r=20_28.txt,25804800,2592,648
n=11_r=20_29.txt,47736000,5376,24
n=11_r=20_30.txt,11907000,1280,128
n=11_r=20_31.txt,32348160,2304,288
n=11_r=20_32.txt,12355200,1728,120
n=11_r=20_33.txt,4073472,1008,36
n=11_r=20_34.txt,8398080,512,256
n=11_r=20_35.txt,31104000,3072,144
n=11_r=20_36.txt,47775744,6912,2592
n=11_r=20_37.txt,21384000,1152,160
n=11_r=20_38.txt,9000000,768,12
n=11_r=20_39.txt,58378320,5760,640
n=11_r=20_40.txt,25552800,3840,48
n=11_r=20_41.txt,18662400,768,192
n=11_r=20_42.txt,31680000,7776,540
n=11_r=20_43.txt,13899600,2304,160
n=11_r=20_44.txt,18144000,2880,288
n=11_r=20_45.txt,49766400,1536,144
n=11_r=20_46.txt,11232000,3072,36
n=11_r=20_47.txt,4526080,504,9
n=11_r=20_48.txt,6682500,2304,160
n=11_r=20_49.txt,39985920,2304,24
n=11_r=20_50.txt,47931840,9072,60
n=11_r=20_51.txt,22032000,2688,48
n=11_r=20_52.txt,6709248,1080,216
n=11_r=20_53.txt,31500000,1536,24
n=11_r=20_54.txt,26208000,2880,72
n=11_r=20_55.txt,10321920,1620,648
n=11_r=20_56.txt,63516960,10752,336
n=11_r=20_57.txt,15335424,1296,324
n=11_r=20_58.txt,15724800,2880,144
n=11_r=20_59.txt,26841600,1008,12
n=11_r=20_60.txt,17088000,1728,18
n=11_r=20_61.txt,12902400,1080,216
n=11_r=20_62.txt,7464960,1536,288
n=11_r=20_63.txt,13500000,1536,24
n=11_r=20_64.txt,37440000,2304,36
n=11_r=20_65.txt,6739200,768,48
n=11_r=20_66.txt,20974464,5880,96
n=11_r=20_67.txt,24324300,5760,320
n=11_r=20_68.txt,14981760,1568,16
n=11_r=20_69.txt,14212800,784,32
n=11_r=20_70.txt,13063680,2880,1152
n=11_r=20_71.txt,7157760,2268,54
n=11_r=20_72.txt,10771200,504,20
n=11_r=20_73.txt,37324800,6912,1728
n=11_r=20_74.txt,5840640,2304,72
n=11_r=20_75.txt,74973600,9216,48
n=11_r=20_76.txt,81285120,5400,1728
n=11_r=20_77.txt,21986640,10752,1344
n=11_r=20_78.txt,9704448,3072,288
n=11_r=20_79.txt,6065280,1536,192
n=11_r=20_80.txt,34987680,1920,16
n=11_r=20_81.txt,13708800,840,24
n=11_r=20_82.txt,28753920,1728,216
n=11_r=20_83.txt,8709120,1440,576
n=11_r=20_84.txt,21228480,3840,384
n=11_r=20_85.txt,18923625,7680,64
n=11_r=20_86.txt,10886400,960,192
n=11_r=20_87.txt,29030400,4320,864
n=11_r=20_88.txt,11907000,1280,128
n=11_r=20_89.txt,46714320,6144,256
n=11_r=20_90.txt,18800640,3024,216
n=11_r=20_91.txt,16244280,3072,8
n=11_r=20_92.txt,51105600,3840,48
n=11_r=20_93.txt,14556672,2048,192
n=11_r=20_94.txt,57493800,5120,64
n=11_r=20_95.txt,43545600,960,192
n=11_r=20_96.txt,7787520,1152,36
n=11_r=20_97.txt,28723200,6804,270
n=11_r=20_98.txt,53887680,25920,11520
n=11_r=20_99.txt,16353792,2880,144
