Input file,|A_N|,|B_N|,|C_N|
n=14_r=26_0.txt,5436288000,46656,1800
n=14_r=26_1.txt,4790016000,77760,8640
n=14_r=26_2.txt,2041200000,15360,384
n=14_r=26_3.txt,15216574464,43200,6912
n=14_r=26_4.txt,9870336000,20160,288
n=14_r=26_5.txt,1779148800,6912,480
n=14_r=26_6.txt,5757972480,82944,864
n=14_r=26_7.txt,3421716480,30240,432
n=14_r=26_8.txt,476280000,9600,384
n=14_r=26_9.txt,4915200000,15552,486
n=14_r=26_10.txt,979776000,23040,2304
n=14_r=26_11.txt,3079296000,55296,2880
n=14_r=26_12.txt,2062195200,21504,192
n=14_r=26_13.txt,752025600,6048,216
n=14_r=26_14.txt,1938816000,12096,240
n=14_r=26_15.txt,433520640,2700,864
n=14_r=26_16.txt,381888000,5376,24
n=14_r=26_17.txt,2377589760,28800,2304
n=14_r=26_18.txt,1345354920,40960,256
n=14_r=26_19.txt,7116595200,20736,1440
n=14_r=26_20.txt,2646540000,43008,168
n=14_r=26_21.txt,12510650880,161280,576
n=14_r=26_22.txt,1710720000,20736,1440
n=14_r=26_23.txt,7245987840,23040,864
n=14_r=26_24.txt,5957452800,64512,144
n=14_r=26_25.txt,1358622720,34560,3456
n=14_r=26_26.txt,679311360,11520,1152
n=14_r=26_27.txt,1244160000,4608,288
n=14_r=26_28.txt,995328000,9216,432
n=14_r=26_29.txt,1097349120,14400,4608
n=14_r=26_30.txt,3153945600,12288,192
n=14_r=26_31.txt,8419950000,46080,1280
n=14_r=26_32.txt,1754726400,840,24
n=14_r=26_33.txt,2653560000,30720,384
n=14_r=26_34.txt,9451728000,32256,160
n=14_r=26_35.txt,1632960000,7680,384
n=14_r=26_36.txt,4849891200,73728,7680
n=14_r=26_37.txt,14227799040,26880,672
n=14_r=26_38.txt,232243200,1440,288
n=14_r=26_39.txt,2737152000,12960,720
n=14_r=26_40.txt,10206518400,64512,48
n=14_r=26_41.txt,1374796800,3584,32
n=14_r=26_42.txt,1184440320,10080,576
n=14_r=26_43.txt,673920000,27648,432
n=14_r=26_44.txt,7137486720,80640,96
n=14_r=26_45.txt,1793806560,20480,128
n=14_r=26_46.txt,29568706560,169344,576
n=14_r=26_47.txt,10611712800,176128,288
n=14_r=26_48.txt,2387909160,38400,64
n=14_r=26_49.txt,7667712000,10368,324
n=14_r=26_50.txt,1692057600,24192,864
n=14_r=26_51.txt,5060689920,7776,1080
n=14_r=26_52.txt,17593804800,62208,360
n=14_r=26_53.txt,2433024000,2592,360
n=14_r=26_54.txt,2351462400,30720,2304
n=14_r=26_55.txt,17836277760,17280,2592
n=14_r=26_56.txt,1982880000,28672,96
n=14_r=26_57.txt,2653560000,30720,384
n=14_r=26_58.txt,732888000,7168,224
n=14_r=26_59.txt,11208637440,34560,3840
n=14_r=26_60.txt,559872000,12288,576
n=14_r=26_61.txt,3742200000,34560,960
n=14_r=26_62.txt,1769472000,15552,1944
n=14_r=26_63.txt,6021734400,23328,7200
n=14_r=26_64.txt,1972674000,38656,640
n=14_r=26_65.txt,1779148800,20736,1440
n=14_r=26_66.txt,958003200,1440,320
n=14_r=26_67.txt,1572864000,11664,1458
n=14_r=26_68.txt,5660928000,23040,576
n=14_r=26_69.txt,2220825600,40320,1152
n=14_r=26_70.txt,3822390000,124416,2400
n=14_r=26_71.txt,6736504320,33600,384
n=14_r=26_72.txt,2299752000,30720,192
n=14_r=26_73.txt,2643840000,32256,288
n=14_r=26_74.txt,8278848000,74880,144
n=14_r=26_75.txt,8831047680,46080,1152
n=14_r=26_76.txt,972405000,8000,256
n=14_r=26_77.txt,2474128800,27648,160
n=14_r=26_78.txt,2469035520,19200,6144
n=14_r=26_79.txt,5308416000,31104,3888
n=14_r=26_80.txt,6387494400,51840,72
n=14_r=26_81.txt,1656225792,31104,7776
n=14_r=26_82.txt,1181466000,96768,480
n=14_r=26_83.txt,3825719100,112000,2048
n=14_r=26_84.txt,13916974500,221184,640
n=14_r=26_85.txt,2070282240,6912,864
n=14_r=26_86.txt,9459450000,28800,160
n=14_r=26_87.txt,15948840960,31104,972
n=14_r=26_88.txt,6725496960,47040,192
n=14_r=26_89.txt,2786238000,25600,512
n=14_r=26_90.txt,2530983936,31752,54
n=14_r=26_91.txt,7900913664,28800,18432
n=14_r=26_92.txt,10118908800,69120,960
n=14_r=26_93.txt,1135420416,12288,768
n=14_r=26_94.txt,5613300000,69120,1920
n=14_r=26_95.txt,2721600000,23040,576
n=14_r=26_96.txt,7677296640,41472,432
n=14_r=26_97.txt,5692032000,28416,192
n=14_r=26_98.txt,6827950080,27000,6912
n=14_r=26_99.txt,6462720000,12096,120
