Input file,|A_N|,|B_N|,|C_N|
n=13_r=24_0.txt,300736800,8960,64
n=13_r=24_1.txt,110073600,1920,96
n=13_r=24_2.txt,594397440,12800,384
n=13_r=24_3.txt,545336064,23520,96
n=13_r=24_4.txt,341107200,14112,576
n=13_r=24_5.txt,504900000,8064,40
n=13_r=24_6.txt,60750000,6144,96
n=13_r=24_7.txt,313528320,17280,6912
n=13_r=24_8.txt,941207040,48384,288
n=13_r=24_9.txt,441080640,30240,480
n=13_r=24_10.txt,764411904,6912,2592
n=13_r=24_11.txt,1697461920,86400,30720
n=13_r=24_12.txt,132710400,5184,1296
n=13_r=24_13.txt,506880000,2592,180
n=13_r=24_14.txt,639874560,28224,126
n=13_r=24_15.txt,1214853120,27648,216
n=13_r=24_16.txt,1192181760,36450,12960
n=13_r=24_17.txt,1558103040,56448,144
n=13_r=24_18.txt,916531200,16128,144
n=13_r=24_19.txt,1415577600,23328,5832
n=13_r=24_20.txt,707888160,31360,256
n=13_r=24_21.txt,664070400,5920,64
n=13_r=24_22.txt,242222400,3840,64
n=13_r=24_23.txt,739065600,3136,32
n=13_r=24_24.txt,419852160,34560,288
n=13_r=24_25.txt,346032000,9216,96
n=13_r=24_26.txt,716601600,12096,840
n=13_r=24_27.txt,206143488,13608,648
n=13_r=24_28.txt,590561280,10368,432
n=13_r=24_29.txt,2075673600,25920,1440
n=13_r=24_30.txt,747601920,20736,648
n=13_r=24_31.txt,3082567680,73872,324
n=13_r=24_32.txt,4608866304,108000,55296
n=13_r=24_33.txt,145566720,27648,3456
n=13_r=24_34.txt,1920360960,12000,3072
n=13_r=24_35.txt,1110148416,77056,288
n=13_r=24_36.txt,1572120576,49152,4608
n=13_r=24_37.txt,1219680000,9720,600
n=13_r=24_38.txt,329011200,1680,48
n=13_r=24_39.txt,404352000,27648,864
n=13_r=24_40.txt,326592000,3840,384
n=13_r=24_41.txt,106142400,2560,128
n=13_r=24_42.txt,1238630400,6480,1296
n=13_r=24_43.txt,212284800,7680,384
n=13_r=24_44.txt,766584000,15360,96
n=13_r=24_45.txt,1091750400,49152,1152
n=13_r=24_46.txt,797247360,5120,32
n=13_r=24_47.txt,330480000,3584,32
n=13_r=24_48.txt,1072341504,21504,192
n=13_r=24_49.txt,783820800,34560,6912
n=13_r=24_50.txt,660960000,10752,96
n=13_r=24_51.txt,846720000,21600,864
n=13_r=24_52.txt,410670000,8192,32
n=13_r=24_53.txt,452874240,17280,1728
n=13_r=24_54.txt,133358400,2000,256
n=13_r=24_55.txt,187644600,18432,1280
n=13_r=24_56.txt,2032128000,7200,576
n=13_r=24_57.txt,1169588160,36864,96
n=13_r=24_58.txt,110388096,2560,128
n=13_r=24_59.txt,386519040,6048,144
n=13_r=24_60.txt,1003290624,25920,20736
n=13_r=24_61.txt,352719360,10240,1536
n=13_r=24_62.txt,630789120,18432,576
n=13_r=24_63.txt,1469664000,15360,1536
n=13_r=24_64.txt,980179200,15120,120
n=13_r=24_65.txt,930134016,5760,384
n=13_r=24_66.txt,1371686400,28800,4608
n=13_r=24_67.txt,401376000,5472,6
n=13_r=24_68.txt,828112896,10368,2592
n=13_r=24_69.txt,2985984000,13824,1728
n=13_r=24_70.txt,151470000,8064,80
n=13_r=24_71.txt,467251200,6144,36
n=13_r=24_72.txt,513216000,20736,2880
n=13_r=24_73.txt,919900800,15360,192
n=13_r=24_74.txt,288360000,9216,48
n=13_r=24_75.txt,347490000,27648,480
n=13_r=24_76.txt,559872000,12288,576
n=13_r=24_77.txt,306633600,7680,96
n=13_r=24_78.txt,280051200,6048,60
n=13_r=24_79.txt,184320000,1728,108
n=13_r=24_80.txt,817500600,30720,512
n=13_r=24_81.txt,536608800,6400,64
n=13_r=24_82.txt,1122660000,34560,1920
n=13_r=24_83.txt,498960000,8640,480
n=13_r=24_84.txt,522547200,17280,3456
n=13_r=24_85.txt,668250000,9216,160
n=13_r=24_86.txt,2433220608,27216,972
n=13_r=24_87.txt,623462400,3624,120
n=13_r=24_88.txt,141004800,4032,144
n=13_r=24_89.txt,1226534400,69120,864
n=13_r=24_90.txt,943488000,34560,864
n=13_r=24_91.txt,582966720,33600,1536
n=13_r=24_92.txt,2377589760,86400,6912
n=13_r=24_93.txt,899250660,69120,2560
n=13_r=24_94.txt,190356480,16128,1152
n=13_r=24_95.txt,711389952,13440,672
n=13_r=24_96.txt,1493606400,9072,90
n=13_r=24_97.txt,516096000,1728,216
n=13_r=24_98.txt,276480000,1152,72
n=13_r=24_99.txt,501350400,9072,324
