Input file,|A_N|,|B_N|,|C_N|
n=3_r=4_0.txt,36,4,4
n=3_r=4_1.txt,30,4,2
n=3_r=4_2.txt,25,4,1
n=3_r=4_3.txt,42,5,4
n=3_r=4_4.txt,32,3,3
n=3_r=4_5.txt,18,4,4
n=3_r=4_6.txt,32,3,3
n=3_r=4_7.txt,20,2,1
n=3_r=4_8.txt,30,4,2
n=3_r=4_9.txt,30,4,2
n=3_r=4_10.txt,30,4,2
n=3_r=4_11.txt,39,8,2
n=3_r=4_12.txt,26,4,1
n=3_r=4_13.txt,32,3,3
n=3_r=4_14.txt,18,4,4
n=3_r=4_15.txt,30,4,2
n=3_r=4_16.txt,30,4,2
n=3_r=4_17.txt,24,6,6
n=3_r=4_18.txt,42,5,4
n=3_r=4_19.txt,40,6,3
n=3_r=4_20.txt,48,6,6
n=3_r=4_21.txt,30,4,2
n=3_r=4_22.txt,30,4,2
n=3_r=4_23.txt,20,2,1
n=3_r=4_24.txt,48,6,6
n=3_r=4_25.txt,24,6,6
n=3_r=4_26.txt,47,10,2
n=3_r=4_27.txt,39,8,2
n=3_r=4_28.txt,32,3,3
n=3_r=4_29.txt,28,2,2
n=3_r=4_30.txt,45,8,4
n=3_r=4_31.txt,42,5,4
n=3_r=4_32.txt,55,9,5
n=3_r=4_33.txt,40,6,3
n=3_r=4_34.txt,30,4,2
n=3_r=4_35.txt,21,5,4
n=3_r=4_36.txt,15,4,2
n=3_r=4_37.txt,56,6,6
n=3_r=4_38.txt,42,5,4
n=3_r=4_39.txt,42,4,4
n=3_r=4_40.txt,30,4,2
n=3_r=4_41.txt,40,6,3
n=3_r=4_42.txt,39,8,2
n=3_r=4_43.txt,27,8,8
n=3_r=4_44.txt,48,6,6
n=3_r=4_45.txt,32,3,3
n=3_r=4_46.txt,42,4,4
n=3_r=4_47.txt,26,4,1
n=3_r=4_48.txt,30,4,2
n=3_r=4_49.txt,48,6,6
n=3_r=4_50.txt,25,4,1
n=3_r=4_51.txt,40,6,3
n=3_r=4_52.txt,40,6,3
n=3_r=4_53.txt,24,2,2
n=3_r=4_54.txt,40,6,3
n=3_r=4_55.txt,26,4,1
n=3_r=4_56.txt,24,6,6
n=3_r=4_57.txt,32,3,3
n=3_r=4_58.txt,15,4,2
n=3_r=4_59.txt,26,4,1
n=3_r=4_60.txt,32,3,3
n=3_r=4_61.txt,26,4,1
n=3_r=4_62.txt,45,8,4
n=3_r=4_63.txt,20,2,1
n=3_r=4_64.txt,30,4,2
n=3_r=4_65.txt,16,3,3
n=3_r=4_66.txt,24,6,6
n=3_r=4_67.txt,56,6,6
n=3_r=4_68.txt,30,4,2
n=3_r=4_69.txt,18,4,4
n=3_r=4_70.txt,30,4,2
n=3_r=4_71.txt,36,4,4
n=3_r=4_72.txt,48,6,6
n=3_r=4_73.txt,21,5,4
n=3_r=4_74.txt,30,4,2
n=3_r=4_75.txt,48,6,6
n=3_r=4_76.txt,39,8,2
n=3_r=4_77.txt,21,5,4
n=3_r=4_78.txt,26,4,1
n=3_r=4_79.txt,64,9,9
n=3_r=4_80.txt,20,2,1
n=3_r=4_81.txt,30,4,2
n=3_r=4_82.txt,39,8,2
n=3_r=4_83.txt,32,3,3
n=3_r=4_84.txt,39,8,2
n=3_r=4_85.txt,32,3,3
n=3_r=4_86.txt,48,6,6
n=3_r=4_87.txt,30,4,2
n=3_r=4_88.txt,30,4,2
n=3_r=4_89.txt,27,8,8
n=3_r=4_90.txt,24,6,6
n=3_r=4_91.txt,36,4,4
n=3_r=4_92.txt,39,8,2
n=3_r=4_93.txt,16,3,3
n=3_r=4_94.txt,32,3,3
n=3_r=4_95.txt,45,8,4
n=3_r=4_96.txt,30,4,2
n=3_r=4_97.txt,34,7,1
n=3_r=4_98.txt,30,4,2
n=3_r=4_99.txt,40,6,3
