Input file,|A_N|,|B_N|,|C_N|
n=6_r=10_0.txt,9072,160,48
n=6_r=10_1.txt,8640,48,24
n=6_r=10_2.txt,4608,108,108
n=6_r=10_3.txt,6480,96,48
n=6_r=10_4.txt,3840,36,18
n=6_r=10_5.txt,3360,24,12
n=6_r=10_6.txt,2560,6,3
n=6_r=10_7.txt,2400,8,2
n=6_r=10_8.txt,7120,72,3
n=6_r=10_9.txt,5184,48,48
n=6_r=10_10.txt,5265,128,16
n=6_r=10_11.txt,2106,64,16
n=6_r=10_12.txt,1620,32,16
n=6_r=10_13.txt,6480,96,48
n=6_r=10_14.txt,900,16,4
n=6_r=10_15.txt,6930,90,40
n=6_r=10_16.txt,6048,48,48
n=6_r=10_17.txt,2400,24,6
n=6_r=10_18.txt,3456,24,24
n=6_r=10_19.txt,2475,72,20
n=6_r=10_20.txt,3840,12,6
n=6_r=10_21.txt,4420,56,1
n=6_r=10_22.txt,9984,72,18
n=6_r=10_23.txt,7488,48,12
n=6_r=10_24.txt,2250,32,4
n=6_r=10_25.txt,4320,48,24
n=6_r=10_26.txt,4320,64,12
n=6_r=10_27.txt,3264,42,6
n=6_r=10_28.txt,9360,96,12
n=6_r=10_29.txt,5040,20,8
n=6_r=10_30.txt,8160,84,6
n=6_r=10_31.txt,11664,256,96
n=6_r=10_32.txt,8424,64,16
n=6_r=10_33.txt,3600,48,12
n=6_r=10_34.txt,9900,72,20
n=6_r=10_35.txt,5616,32,8
n=6_r=10_36.txt,5760,72,36
n=6_r=10_37.txt,1920,12,6
n=6_r=10_38.txt,6750,64,8
n=6_r=10_39.txt,2625,40,4
n=6_r=10_40.txt,11340,80,32
n=6_r=10_41.txt,3510,64,8
n=6_r=10_42.txt,3744,48,12
n=6_r=10_43.txt,4032,30,24
n=6_r=10_44.txt,4806,96,8
n=6_r=10_45.txt,4320,48,24
n=6_r=10_46.txt,5200,48,3
n=6_r=10_47.txt,4320,48,24
n=6_r=10_48.txt,6750,64,8
n=6_r=10_49.txt,7560,40,16
n=6_r=10_50.txt,3960,36,20
n=6_r=10_51.txt,2520,60,24
n=6_r=10_52.txt,6300,40,8
n=6_r=10_53.txt,5670,80,32
n=6_r=10_54.txt,4806,96,8
n=6_r=10_55.txt,4888,40,2
n=6_r=10_56.txt,1690,32,1
n=6_r=10_57.txt,945,40,16
n=6_r=10_58.txt,3456,32,12
n=6_r=10_59.txt,2848,36,3
n=6_r=10_60.txt,1404,32,8
n=6_r=10_61.txt,3536,28,1
n=6_r=10_62.txt,1125,32,4
n=6_r=10_63.txt,8250,72,10
n=6_r=10_64.txt,4536,120,96
n=6_r=10_65.txt,6912,24,24
n=6_r=10_66.txt,7680,36,18
n=6_r=10_67.txt,4992,24,6
n=6_r=10_68.txt,2496,24,6
n=6_r=10_69.txt,2040,28,2
n=6_r=10_70.txt,3380,32,1
n=6_r=10_71.txt,4608,36,36
n=6_r=10_72.txt,4050,64,16
n=6_r=10_73.txt,3900,32,2
n=6_r=10_74.txt,7040,81,45
n=6_r=10_75.txt,9360,96,12
n=6_r=10_76.txt,3360,30,12
n=6_r=10_77.txt,2028,32,2
n=6_r=10_78.txt,5070,64,2
n=6_r=10_79.txt,3840,36,18
n=6_r=10_80.txt,6408,144,12
n=6_r=10_81.txt,9126,128,8
n=6_r=10_82.txt,6400,36,9
n=6_r=10_83.txt,2535,64,2
n=6_r=10_84.txt,4320,48,24
n=6_r=10_85.txt,15840,108,60
n=6_r=10_86.txt,7140,70,4
n=6_r=10_87.txt,4032,30,24
n=6_r=10_88.txt,4160,24,3
n=6_r=10_89.txt,7344,168,24
n=6_r=10_90.txt,4320,20,4
n=6_r=10_91.txt,6240,48,6
n=6_r=10_92.txt,5500,36,5
n=6_r=10_93.txt,4056,32,2
n=6_r=10_94.txt,2880,24,12
n=6_r=10_95.txt,9072,96,96
n=6_r=10_96.txt,5040,20,8
n=6_r=10_97.txt,2304,12,12
n=6_r=10_98.txt,2835,80,32
n=6_r=10_99.txt,5040,20,8
