Input file,|A_N|,|B_N|,|C_N|
n=8_r=14_0.txt,230400,144,36
n=8_r=14_1.txt,146880,336,24
n=8_r=14_2.txt,79200,216,60
n=8_r=14_3.txt,239616,432,108
n=8_r=14_4.txt,453600,384,96
n=8_r=14_5.txt,137500,144,5
n=8_r=14_6.txt,90090,360,40
n=8_r=14_7.txt,138240,432,216
n=8_r=14_8.txt,308448,840,96
n=8_r=14_9.txt,204120,960,384
n=8_r=14_10.txt,34272,70,8
n=8_r=14_11.txt,56700,160,32
n=8_r=14_12.txt,196560,480,48
n=8_r=14_13.txt,214500,288,10
n=8_r=14_14.txt,96768,180,144
n=8_r=14_15.txt,90000,192,12
n=8_r=14_16.txt,210600,256,16
n=8_r=14_17.txt,205920,432,60
n=8_r=14_18.txt,198288,448,64
n=8_r=14_19.txt,52800,108,30
n=8_r=14_20.txt,108000,192,24
n=8_r=14_21.txt,112320,192,24
n=8_r=14_22.txt,237600,144,40
n=8_r=14_23.txt,62208,288,288
n=8_r=14_24.txt,374868,768,16
n=8_r=14_25.txt,88452,320,64
n=8_r=14_26.txt,276480,432,216
n=8_r=14_27.txt,399360,432,54
n=8_r=14_28.txt,302778,960,64
n=8_r=14_29.txt,571914,1680,16
n=8_r=14_30.txt,343200,432,30
n=8_r=14_31.txt,224640,576,72
n=8_r=14_32.txt,134400,60,12
n=8_r=14_33.txt,85800,144,10
n=8_r=14_34.txt,54432,240,192
n=8_r=14_35.txt,97920,168,12
n=8_r=14_36.txt,343980,400,32
n=8_r=14_37.txt,155520,192,96
n=8_r=14_38.txt,97920,224,6
n=8_r=14_39.txt,72576,360,288
n=8_r=14_40.txt,103680,288,144
n=8_r=14_41.txt,60840,128,4
n=8_r=14_42.txt,230400,144,36
n=8_r=14_43.txt,74250,288,40
n=8_r=14_44.txt,358020,896,16
n=8_r=14_45.txt,354042,1344,4
n=8_r=14_46.txt,117936,160,32
n=8_r=14_47.txt,134400,144,36
n=8_r=14_48.txt,144000,288,36
n=8_r=14_49.txt,435456,720,576
n=8_r=14_50.txt,91260,256,8
n=8_r=14_51.txt,64512,270,216
n=8_r=14_52.txt,75600,192,48
n=8_r=14_53.txt,103680,128,24
n=8_r=14_54.txt,183600,224,8
n=8_r=14_55.txt,181440,720,288
n=8_r=14_56.txt,100800,120,24
n=8_r=14_57.txt,149760,288,36
n=8_r=14_58.txt,206388,400,64
n=8_r=14_59.txt,221760,270,120
n=8_r=14_60.txt,65910,256,2
n=8_r=14_61.txt,84240,384,48
n=8_r=14_62.txt,138240,192,36
n=8_r=14_63.txt,74760,120,4
n=8_r=14_64.txt,216320,288,9
n=8_r=14_65.txt,56160,192,24
n=8_r=14_66.txt,75600,240,48
n=8_r=14_67.txt,235008,168,24
n=8_r=14_68.txt,116640,384,192
n=8_r=14_69.txt,144000,96,12
n=8_r=14_70.txt,103680,384,72
n=8_r=14_71.txt,110880,90,40
n=8_r=14_72.txt,181440,240,96
n=8_r=14_73.txt,54400,84,3
n=8_r=14_74.txt,87480,256,128
n=8_r=14_75.txt,43680,40,4
n=8_r=14_76.txt,157248,240,48
n=8_r=14_77.txt,213600,288,6
n=8_r=14_78.txt,105000,80,4
n=8_r=14_79.txt,51840,96,48
n=8_r=14_80.txt,64512,270,216
n=8_r=14_81.txt,155520,256,48
n=8_r=14_82.txt,299520,864,108
n=8_r=14_83.txt,528768,672,96
n=8_r=14_84.txt,103680,288,144
n=8_r=14_85.txt,202176,384,96
n=8_r=14_86.txt,36288,120,96
n=8_r=14_87.txt,475020,560,56
n=8_r=14_88.txt,101088,384,96
n=8_r=14_89.txt,64260,280,16
n=8_r=14_90.txt,299520,288,36
n=8_r=14_91.txt,202176,512,48
n=8_r=14_92.txt,96000,144,18
n=8_r=14_93.txt,61200,336,12
n=8_r=14_94.txt,62208,96,96
n=8_r=14_95.txt,119808,144,36
n=8_r=14_96.txt,103680,384,72
n=8_r=14_97.txt,363480,1008,6
n=8_r=14_98.txt,44928,128,12
n=8_r=14_99.txt,174720,120,12
