Input file,|A_N|,|B_N|,|C_N|
n=9_r=16_0.txt,768000,432,54
n=9_r=16_1.txt,536832,252,12
n=9_r=16_2.txt,96120,192,8
n=9_r=16_3.txt,1597440,432,54
n=9_r=16_4.txt,919872,780,12
n=9_r=16_5.txt,725760,240,96
n=9_r=16_6.txt,1451520,720,288
n=9_r=16_7.txt,462672,560,64
n=9_r=16_8.txt,1388016,1120,128
n=9_r=16_9.txt,1085994,2240,16
n=9_r=16_10.txt,604800,240,48
n=9_r=16_11.txt,547560,512,16
n=9_r=16_12.txt,239616,432,108
n=9_r=16_13.txt,587520,1008,72
n=9_r=16_14.txt,725760,720,288
n=9_r=16_15.txt,589680,320,32
n=9_r=16_16.txt,907200,160,32
n=9_r=16_17.txt,408240,320,128
n=9_r=16_18.txt,766584,640,32
n=9_r=16_19.txt,1537920,576,24
n=9_r=16_20.txt,435456,720,576
n=9_r=16_21.txt,483840,360,144
n=9_r=16_22.txt,163200,168,6
n=9_r=16_23.txt,1360800,960,192
n=9_r=16_24.txt,2764800,1152,108
n=9_r=16_25.txt,4186080,2752,144
n=9_r=16_26.txt,870912,720,576
n=9_r=16_27.txt,762048,600,384
n=9_r=16_28.txt,534600,576,160
n=9_r=16_29.txt,320760,576,320
n=9_r=16_30.txt,692224,1296,81
n=9_r=16_31.txt,1140480,1296,720
n=9_r=16_32.txt,511056,320,16
n=9_r=16_33.txt,324480,192,6
n=9_r=16_34.txt,414720,96,48
n=9_r=16_35.txt,524160,720,72
n=9_r=16_36.txt,1331712,588,12
n=9_r=16_37.txt,1782144,840,24
n=9_r=16_38.txt,1557504,576,36
n=9_r=16_39.txt,3773952,1440,288
n=9_r=16_40.txt,189000,160,16
n=9_r=16_41.txt,434304,112,28
n=9_r=16_42.txt,380160,216,120
n=9_r=16_43.txt,1233792,280,32
n=9_r=16_44.txt,850500,640,64
n=9_r=16_45.txt,252720,768,96
n=9_r=16_46.txt,291600,256,64
n=9_r=16_47.txt,2201472,480,96
n=9_r=16_48.txt,1663200,1080,240
n=9_r=16_49.txt,491400,320,16
n=9_r=16_50.txt,3048192,1800,1152
n=9_r=16_51.txt,1244160,576,288
n=9_r=16_52.txt,925344,1680,192
n=9_r=16_53.txt,1347840,1152,144
n=9_r=16_54.txt,528768,672,96
n=9_r=16_55.txt,419328,120,24
n=9_r=16_56.txt,580992,504,6
n=9_r=16_57.txt,932715,1960,128
n=9_r=16_58.txt,1168128,384,24
n=9_r=16_59.txt,1009800,1008,40
n=9_r=16_60.txt,452952,672,32
n=9_r=16_61.txt,1566720,504,36
n=9_r=16_62.txt,293760,112,8
n=9_r=16_63.txt,668250,1152,160
n=9_r=16_64.txt,911250,1024,64
n=9_r=16_65.txt,972000,768,96
n=9_r=16_66.txt,213600,96,2
n=9_r=16_67.txt,1624320,1440,144
n=9_r=16_68.txt,2471040,864,120
n=9_r=16_69.txt,253440,324,180
n=9_r=16_70.txt,253440,324,180
n=9_r=16_71.txt,1009800,1008,40
n=9_r=16_72.txt,725760,960,144
n=9_r=16_73.txt,691200,864,216
n=9_r=16_74.txt,440640,672,48
n=9_r=16_75.txt,373248,256,96
n=9_r=16_76.txt,1140480,432,240
n=9_r=16_77.txt,2044224,2880,144
n=9_r=16_78.txt,215040,90,36
n=9_r=16_79.txt,665600,144,9
n=9_r=16_80.txt,712800,864,240
n=9_r=16_81.txt,2027520,324,180
n=9_r=16_82.txt,850500,640,64
n=9_r=16_83.txt,489888,960,768
n=9_r=16_84.txt,798720,432,54
n=9_r=16_85.txt,172800,96,24
n=9_r=16_86.txt,576720,1152,48
n=9_r=16_87.txt,275808,224,2
n=9_r=16_88.txt,707616,320,64
n=9_r=16_89.txt,589680,960,96
n=9_r=16_90.txt,730080,768,24
n=9_r=16_91.txt,362880,240,96
n=9_r=16_92.txt,179712,288,72
n=9_r=16_93.txt,516096,90,72
n=9_r=16_94.txt,374400,192,12
n=9_r=16_95.txt,1762560,2016,144
n=9_r=16_96.txt,93600,192,12
n=9_r=16_97.txt,856800,840,24
n=9_r=16_98.txt,432000,192,24
n=9_r=16_99.txt,816480,960,384
