Minimum level:2
Runtime (sec):44.7409472000
Support network with minimum level
6 23
23 7
57 58
57 19
58 42
19 61
19 1
43 73
73 29
37 44
44 66
61 62
62 38
39 20
20 55
69 40
40 30
75 76
76 70
53 16
16 3
21 54
21 27
54 4
27 25
27 43
72 14
17 51
51 39
35 18
18 33
25 36
36 32
33 22
22 57
74 34
34 6
41 52
41 60
52 35
60 42
59 11
78 74
3 50
50 47
49 41
64 28
28 65
0 45
45 67
45 63
38 5
47 48
48 69
29 64
63 46
46 24
7 59
65 15
15 49
15 53
66 56
56 26
26 10
70 26
30 31
71 13
10 72
10 71
31 12
32 70
1 9
42 68
68 8
77 78
2 17
2 21
55 75
67 77
67 2
24 37
