Minimum level:2
Runtime (sec):8.4899160000
Support network with minimum level
54 56
56 10
55 56
67 26
26 18
34 68
68 25
24 60
60 72
65 66
66 14
64 66
49 61
49 67
61 62
4 31
31 58
31 32
39 40
40 71
57 28
28 22
58 16
32 18
53 54
23 41
41 42
37 63
37 1
63 38
1 50
1 17
45 27
45 74
27 39
74 46
73 44
44 12
51 52
52 9
33 59
59 65
6 73
42 24
46 34
3 19
19 7
19 21
62 8
50 3
17 49
17 35
35 43
43 51
48 36
36 20
15 23
15 45
0 2
0 37
2 33
2 15
22 53
71 57
18 5
38 4
70 64
25 69
25 29
69 24
29 55
72 30
30 11
12 47
47 13
20 70
21 48
16 6
