Minimum level:3
Runtime (sec):8.0753835000
Support network with minimum level
92 49
49 57
26 83
83 5
22 40
40 26
39 78
78 20
77 42
42 54
81 82
82 65
19 55
55 63
55 46
94 6
6 67
6 85
20 28
71 20
33 72
72 34
43 32
32 88
58 44
44 4
64 66
66 54
65 39
24 36
36 22
35 38
38 62
37 52
52 41
51 45
45 37
87 25
87 91
25 47
91 88
31 43
31 2
2 10
2 95
88 26
61 92
62 8
10 11
10 86
11 13
11 19
86 68
85 80
80 17
79 96
96 30
95 23
23 53
29 71
29 79
21 1
1 61
89 24
89 90
90 14
47 56
4 30
30 94
93 94
70 48
48 29
67 84
84 7
68 15
0 51
0 69
69 31
69 70
34 77
17 35
17 18
18 9
59 60
60 76
15 12
28 74
27 89
63 64
46 87
74 21
73 81
56 33
53 50
50 59
57 58
16 3
54 27
41 93
41 75
75 73
76 16
