Minimum level:1
Runtime (sec):0.0117052000
Support network with minimum level
2 53
53 76
39 40
39 28
40 72
28 14
7 56
56 29
55 58
58 42
57 26
26 21
43 44
44 13
21 22
22 9
4 66
66 69
65 18
18 16
49 50
50 67
25 60
60 30
59 46
46 2
73 74
74 20
19 23
23 49
23 75
35 12
29 36
36 57
47 48
48 30
76 54
54 65
20 17
17 7
0 45
0 59
45 1
45 73
24 5
5 11
5 35
38 32
32 34
1 61
1 6
34 47
15 63
15 3
63 19
27 39
27 51
51 52
75 64
64 41
41 55
62 24
42 4
37 25
31 38
52 33
72 31
33 15
68 8
61 71
6 37
6 27
69 10
30 70
70 68
67 43
16 62
71 62
