Minimum level:4
Runtime (sec):0.7163485998753458
Support network with minimum level
79 29
29 31
23 80
80 55
78 24
24 7
59 1
59 60
1 69
60 50
49 45
45 4
45 75
39 33
33 18
81 82
82 68
75 46
46 41
56 76
76 20
18 37
37 35
42 78
77 79
73 67
73 74
67 64
74 3
2 17
17 65
15 14
15 48
48 27
47 38
38 36
35 15
6 63
6 39
63 73
63 51
57 71
71 72
72 28
28 42
55 59
55 66
66 56
65 47
54 22
22 19
25 22
50 26
53 2
53 58
58 54
5 8
8 81
68 40
40 34
41 12
64 9
7 64
32 16
16 30
27 57
43 32
34 44
44 56
51 13
19 52
19 5
52 34
36 49
31 61
31 70
61 23
70 43
69 21
21 25
21 6
26 54
30 62
62 10
0 77
0 53
20 11
