Minimum level:2
Runtime (sec):52.3080203000
Support network with minimum level
48 12
12 23
68 22
22 6
59 60
60 28
3 65
65 66
65 74
52 64
64 14
63 33
33 67
42 52
51 24
24 10
23 34
34 57
67 68
74 68
71 61
61 41
37 72
37 1
72 38
1 70
1 73
56 9
58 32
32 56
31 63
66 59
73 17
17 44
17 15
55 26
26 5
47 48
5 11
54 18
18 42
41 42
38 20
28 38
43 19
19 21
44 71
15 8
15 49
35 7
25 36
25 53
36 55
53 35
53 54
69 30
30 13
70 16
21 37
21 31
57 58
16 27
49 16
40 50
50 46
8 51
27 62
62 25
0 2
0 43
2 29
2 45
29 3
39 40
39 4
46 69
45 39
20 47
