Minimum level:7
Runtime (sec):0.5173523000
Support network with minimum level
27 65
65 59
86 40
40 28
19 1
19 20
1 91
20 25
91 41
90 30
30 36
29 58
58 24
57 15
15 17
28 53
34 28
74 24
24 67
72 22
22 56
84 22
18 16
16 11
46 16
60 71
71 72
77 31
77 78
31 10
78 63
17 80
79 27
80 92
89 90
59 50
50 84
69 60
73 70
70 76
66 74
76 86
85 57
93 75
75 48
53 94
94 35
37 54
54 32
45 38
38 48
68 46
39 6
39 73
6 21
6 51
3 5
3 39
41 13
41 62
62 42
61 44
44 83
81 82
82 64
10 12
2 4
2 3
4 29
4 81
33 43
33 66
43 69
43 61
21 79
21 52
51 23
35 8
36 68
64 37
63 64
48 34
83 49
49 9
49 89
32 18
42 14
25 42
87 88
88 26
26 2
92 32
56 45
0 19
0 87
47 93
47 55
55 33
67 77
52 7
23 47
23 85
