Minimum level:3
Runtime (sec):55.4060728000
Support network with minimum level
26 52
52 70
51 38
38 61
54 38
21 37
21 33
37 51
33 22
23 35
23 30
35 26
30 40
29 9
49 73
49 50
73 74
73 34
50 11
72 44
44 41
67 68
68 69
1 32
32 3
31 17
17 19
46 48
48 7
47 46
42 46
62 13
59 6
63 60
63 64
60 58
64 53
22 16
41 42
3 15
15 36
71 65
65 66
74 72
34 18
66 28
56 66
10 12
10 21
24 45
45 59
45 47
43 67
36 56
16 2
5 10
5 29
69 4
4 54
4 5
70 24
55 56
39 1
40 49
20 18
18 24
19 20
19 14
58 28
27 31
11 27
61 62
61 23
53 71
25 39
25 43
57 25
57 63
0 57
0 55
28 8
