Minimum level:4
Runtime (sec):5.3190420000
Support network with minimum level
28 47
47 8
2 51
2 37
51 26
37 65
37 69
15 19
19 9
67 68
68 16
55 56
55 45
56 15
45 66
61 59
59 53
71 72
71 14
72 62
16 52
52 7
26 41
57 58
58 63
43 35
35 16
31 4
4 29
4 5
23 32
23 31
32 60
70 46
46 6
18 46
42 50
50 11
49 20
20 12
41 17
17 55
17 23
39 42
24 40
40 22
66 70
69 3
3 61
38 34
34 25
33 36
36 28
1 13
53 54
54 71
65 38
29 18
60 30
30 48
25 10
25 57
10 49
10 39
62 24
44 22
22 67
0 27
0 21
27 33
27 2
21 1
5 43
48 64
64 62
63 44
