Minimum level:3
Runtime (sec):0.2058247000
Support network with minimum level
20 17
17 57
17 21
66 15
15 11
1 6
1 36
6 39
6 35
36 16
35 60
60 51
59 34
34 19
27 42
42 28
41 40
40 30
39 45
45 12
45 70
26 4
55 53
55 56
53 13
56 44
43 64
64 68
63 9
22 43
70 54
54 58
5 27
37 38
38 8
2 22
31 32
32 44
28 48
61 29
61 62
29 37
62 50
19 20
12 24
24 14
23 31
46 10
48 18
47 65
65 52
33 59
33 1
52 69
51 66
57 25
57 67
25 41
25 23
67 68
49 55
50 7
58 46
68 3
18 46
0 47
0 33
16 5
30 26
44 26
8 63
69 2
21 49
21 61
