Minimum level:7
Runtime (sec):2.1278231000
Support network with minimum level
15 41
15 16
41 7
16 68
71 72
72 68
67 15
8 10
39 22
22 78
70 40
40 48
94 51
51 57
38 86
86 82
85 60
60 77
83 84
84 18
2 89
89 6
89 93
96 26
26 58
75 26
68 76
76 17
73 53
53 88
49 74
74 50
65 66
66 11
77 32
32 13
78 81
54 50
50 14
48 34
34 36
33 34
42 20
20 87
61 91
91 33
81 62
62 71
82 12
7 61
95 64
64 35
88 96
92 28
28 21
23 28
56 24
24 8
52 73
18 46
46 5
45 37
37 25
37 38
87 83
57 54
58 79
31 65
31 52
29 23
29 30
30 59
0 1
1 43
1 63
19 4
19 42
4 69
17 70
43 19
43 44
44 31
69 67
36 18
6 97
6 45
97 49
97 98
35 27
27 29
27 92
98 56
55 94
93 90
90 47
79 80
80 48
47 9
63 95
63 3
59 85
59 2
21 55
21 39
25 75
