Minimum level:2
Runtime (sec):18.2984481000
Support network with minimum level
38 22
22 31
59 60
60 28
17 18
18 12
43 44
44 10
46 44
48 11
0 65
0 1
65 37
1 29
31 19
19 55
6 32
32 25
68 56
56 14
37 59
21 38
21 51
51 43
54 20
20 15
55 68
67 36
36 2
24 16
16 4
41 42
42 66
25 27
27 50
39 61
39 40
61 62
40 34
2 45
45 46
66 52
52 26
62 24
23 24
53 54
53 64
64 26
63 5
29 35
29 33
35 49
35 67
33 7
15 41
15 3
4 6
4 63
26 30
30 47
58 62
7 17
7 69
34 23
69 70
69 9
70 53
9 48
9 21
28 46
57 58
50 13
47 8
49 57
49 39
