Minimum level:3
Runtime (sec):0.4574182000
Support network with minimum level
47 8
47 74
74 48
73 56
56 33
39 55
55 73
55 57
57 45
57 58
30 47
9 69
9 28
69 54
28 13
27 25
25 76
80 52
52 44
51 52
36 24
24 72
65 1
65 66
1 61
1 62
66 5
3 67
67 6
79 43
43 31
42 80
70 4
38 36
6 19
19 68
5 63
5 11
63 64
45 40
58 2
0 23
23 29
23 39
71 59
59 75
72 50
26 7
61 3
62 70
53 10
53 71
48 32
41 42
46 42
2 27
44 34
34 78
68 20
75 60
60 30
76 18
50 26
64 35
35 18
31 41
20 16
49 50
29 79
29 37
32 12
17 15
15 49
16 53
21 22
22 17
33 46
40 65
54 14
18 9
77 38
78 21
37 77
37 51
