Minimum level:1
Runtime (sec):33.2279090000
Support network with minimum level
32 24
24 40
23 74
74 9
73 56
56 68
39 44
44 37
43 31
31 32
31 10
47 59
47 15
59 48
15 1
37 6
30 38
38 14
68 40
67 62
62 73
61 63
63 64
3 19
19 60
58 42
42 17
2 25
25 3
10 12
10 35
50 22
22 16
51 52
52 18
69 70
70 11
35 36
36 46
57 58
41 28
28 55
64 45
8 33
33 23
55 8
65 66
65 13
66 67
18 7
17 29
29 26
26 53
53 54
5 30
5 65
40 72
72 4
71 2
60 39
54 20
20 5
48 50
27 61
21 57
21 43
49 47
16 71
1 34
1 41
46 51
45 21
34 69
0 27
0 49
