Minimum level:3
Runtime (sec):0.0124660000
Support network with minimum level
71 11
38 72
72 21
31 65
65 23
46 32
32 86
27 12
12 14
51 52
52 28
37 38
30 18
18 66
53 31
53 57
57 59
21 81
81 5
59 60
60 22
55 54
54 4
64 56
56 30
75 83
83 84
29 26
26 24
2 49
2 9
49 10
49 50
79 37
84 80
86 76
76 16
17 79
17 36
36 41
35 77
77 45
24 34
34 40
33 44
44 3
43 62
62 75
61 78
78 71
45 7
22 20
69 2
69 70
70 58
67 82
82 68
1 55
63 64
40 15
10 19
10 39
19 53
39 17
80 13
68 80
16 48
48 51
47 42
42 85
41 27
4 8
4 29
23 61
15 35
50 63
85 46
58 43
66 25
0 1
0 73
73 69
25 67
25 33
3 47
3 74
74 6
20 68
28 20
