Minimum level:3
Runtime (sec):0.0568357000
Support network with minimum level
0 1
0 41
41 51
41 73
25 33
25 26
33 40
26 35
15 32
32 46
31 19
19 55
44 78
78 80
77 78
57 58
58 84
29 24
24 17
66 30
30 18
22 5
5 15
5 63
52 44
76 44
55 53
55 56
53 75
56 60
23 29
49 47
47 3
62 50
50 48
46 74
45 8
8 65
8 43
74 54
54 79
75 76
43 27
27 28
51 2
2 67
2 38
59 52
60 34
65 81
81 82
48 36
36 23
3 69
70 62
69 71
71 70
21 22
28 39
18 59
63 83
84 68
68 12
67 4
4 45
4 21
17 6
17 66
82 77
35 61
61 9
34 72
40 16
39 37
37 7
38 49
83 10
73 64
64 42
72 13
16 20
20 42
42 57
79 25
10 31
10 11
80 14
