Minimum level:5
Runtime (sec):3.0184545000
Support network with minimum level
76 18
18 26
21 24
24 71
59 63
63 64
26 11
25 5
46 40
40 27
39 12
19 3
19 47
3 35
3 68
47 48
4 29
29 83
56 52
52 20
67 61
67 85
61 62
85 86
37 65
65 66
43 44
43 69
44 42
69 6
48 50
50 60
49 30
30 70
83 84
60 15
15 55
15 7
55 51
51 56
62 56
73 34
34 39
64 74
74 32
41 4
53 54
54 42
35 36
35 31
36 21
31 79
42 38
38 46
7 84
84 37
20 8
81 75
81 82
75 28
82 78
77 13
27 9
28 77
58 76
45 57
57 19
68 43
86 59
23 73
6 23
6 87
87 80
80 53
16 66
66 88
32 10
10 81
10 14
22 16
79 16
88 25
71 49
71 72
78 22
17 1
17 58
1 33
1 41
70 22
72 2
0 17
33 45
33 67
