Minimum level:2
Runtime (sec):130.9021498000
Support network with minimum level
42 50
50 59
49 22
22 74
59 22
32 60
60 35
29 41
41 42
39 40
40 30
70 56
56 33
30 54
54 66
53 26
26 45
16 26
35 67
67 36
67 68
25 28
28 53
37 38
37 10
38 20
10 62
10 31
19 25
23 24
24 30
36 39
68 66
65 19
55 3
55 70
3 71
3 43
69 34
34 13
33 16
9 12
46 7
66 1
48 52
52 8
51 44
44 57
21 55
58 48
63 64
64 58
57 49
8 9
8 73
73 74
27 4
27 32
31 14
18 27
15 69
15 29
45 11
6 46
6 61
61 63
62 15
20 5
71 72
72 37
74 17
17 23
17 18
2 21
0 2
0 65
47 51
43 6
43 47
