Minimum level:4
Runtime (sec):153.0870025000
Support network with minimum level
0 81
0 48
81 1
48 16
47 3
3 87
3 30
68 84
84 58
83 84
25 22
22 26
26 47
58 79
85 86
86 63
77 78
78 41
75 78
60 76
76 10
70 52
52 72
42 52
31 73
73 74
8 32
32 15
59 60
9 42
34 20
20 40
61 89
89 90
67 68
19 28
19 29
28 44
29 55
36 75
82 70
69 64
64 62
90 71
46 90
87 7
87 88
88 66
55 65
37 4
37 51
4 57
51 38
51 82
2 17
2 13
17 23
44 33
43 2
45 5
45 46
23 35
35 24
35 77
56 11
30 8
65 56
27 67
27 83
33 85
24 80
57 31
57 61
38 21
1 27
1 37
63 69
18 9
49 45
72 50
50 56
62 39
74 14
15 18
66 34
71 36
91 43
39 92
39 53
92 40
53 6
53 54
16 91
54 18
79 80
80 49
41 59
40 12
21 19
21 25
