Minimum level:3
Runtime (sec):0.0101411000
Support network with minimum level
15 4
4 25
4 6
59 60
59 29
60 16
29 30
68 56
56 36
55 57
57 27
32 36
36 20
17 21
21 47
21 48
30 19
70 34
34 28
33 39
39 71
39 45
69 70
23 66
66 37
51 26
26 43
9 52
52 13
20 49
25 5
25 51
28 63
72 28
31 53
31 32
53 58
19 11
54 10
65 69
65 35
35 2
35 68
64 9
50 46
46 12
45 40
40 72
27 38
38 16
37 8
8 55
42 22
22 24
58 54
71 44
61 23
43 62
62 33
44 24
0 1
0 65
1 31
1 17
24 50
16 41
41 64
5 59
5 61
47 18
48 42
18 15
2 67
67 3
49 14
63 7
