Minimum level:3
Runtime (sec):114.6268143000
Support network with minimum level
33 61
61 62
21 34
34 24
39 40
40 78
59 22
22 70
29 60
29 77
60 30
77 28
68 76
76 79
75 13
36 54
54 74
80 54
0 17
0 1
17 2
17 45
24 59
63 64
64 58
65 64
28 66
66 10
78 20
62 32
18 62
3 6
6 31
6 65
37 18
37 51
51 43
30 68
67 44
44 35
43 44
16 38
38 52
19 21
19 5
5 20
56 9
12 75
47 48
47 11
48 14
2 27
2 49
45 37
45 46
35 12
79 36
79 80
53 39
31 8
32 41
41 19
41 57
46 25
4 23
23 71
26 67
20 16
15 53
25 69
69 26
55 56
55 73
73 3
71 72
71 15
72 52
74 47
58 7
57 42
42 4
49 50
50 63
70 29
27 33
27 55
52 30
