Minimum level:2
Runtime (sec):14.8800886000
Support network with minimum level
33 47
47 34
67 68
67 15
68 48
15 24
66 40
40 64
27 46
46 17
45 67
0 2
0 1
1 53
1 3
19 41
41 42
20 16
16 26
50 32
32 26
25 13
62 38
38 36
37 56
56 30
55 28
28 25
64 28
48 57
57 58
57 14
49 63
63 18
71 52
52 50
65 72
72 33
44 66
6 45
36 30
31 22
22 20
42 7
58 42
5 8
70 21
21 29
21 31
29 37
30 12
7 10
7 27
34 39
18 60
59 60
60 55
69 71
69 70
17 61
61 9
23 65
24 19
53 54
53 35
54 43
35 62
43 51
51 11
51 69
39 44
39 59
11 49
11 23
3 6
3 5
26 4
