Minimum level:2
Runtime (sec):125.1321774000
Support network with minimum level
50 30
30 70
63 64
64 32
31 74
74 22
73 7
7 49
7 18
37 45
45 71
49 38
38 28
18 50
72 68
68 4
67 68
21 62
62 42
35 36
36 31
32 13
20 46
46 21
71 72
33 34
34 16
15 12
43 17
17 65
57 58
57 53
58 61
53 73
39 59
39 3
59 60
3 6
51 37
29 52
29 63
52 5
40 33
42 29
41 40
60 8
6 47
47 57
22 56
56 11
55 24
24 26
54 24
28 19
27 51
25 48
48 27
26 35
70 22
4 9
4 10
19 20
19 23
65 66
65 1
66 25
1 41
1 39
16 14
0 2
0 69
69 43
61 44
61 67
5 55
44 16
23 54
23 15
