Minimum level:3
Runtime (sec):3.9096277000
Support network with minimum level
21 53
53 77
76 54
54 46
88 82
82 70
31 74
74 4
73 12
29 79
79 80
78 30
30 16
6 19
19 75
19 20
33 34
34 47
49 50
50 24
72 36
36 28
47 55
47 42
55 56
42 11
41 14
64 76
83 76
51 84
84 39
35 52
52 43
89 90
90 60
86 40
40 45
61 6
69 66
69 81
66 62
81 88
71 3
3 5
3 37
43 72
56 67
87 48
48 29
70 32
16 13
44 16
24 9
1 26
26 15
25 85
85 71
45 58
23 33
67 68
68 80
62 91
93 7
22 94
94 18
28 21
80 44
27 35
27 49
5 8
5 93
37 61
65 69
65 78
77 59
59 64
18 65
63 18
60 63
75 73
75 83
20 27
10 89
39 38
38 1
91 92
91 57
92 86
57 58
46 31
58 32
2 87
2 17
17 22
17 25
15 23
15 10
32 41
0 51
0 2
