Minimum level:5
Runtime (sec):1.6136391000
Support network with minimum level
54 42
42 61
41 15
15 27
2 25
2 30
25 73
30 23
29 18
18 49
73 83
36 68
68 52
67 66
66 76
27 28
28 51
1 21
21 79
21 35
53 43
53 98
43 63
98 54
97 44
44 82
71 72
72 50
63 65
63 47
78 22
22 62
59 60
60 34
33 24
24 5
23 48
48 71
47 31
31 95
31 2
65 67
70 64
64 36
90 70
35 78
77 88
88 40
87 26
26 39
6 69
69 94
69 90
38 58
58 93
57 58
37 77
37 53
62 20
20 32
5 11
92 6
94 36
16 14
4 55
4 33
55 17
46 16
81 16
82 38
49 81
49 74
74 50
83 56
0 37
0 1
19 41
19 75
75 89
86 92
91 12
96 46
80 85
85 32
93 13
89 45
45 59
50 97
95 96
95 57
79 19
76 4
34 86
17 29
56 87
51 84
51 3
84 52
32 91
40 38
39 7
61 80
52 8
8 9
8 10
