Minimum level:5
Runtime (sec):192.9089749000
Support network with minimum level
2 49
2 69
49 73
69 81
31 12
36 32
32 33
8 51
8 17
51 43
17 18
17 27
41 77
77 78
58 42
42 47
46 38
38 30
79 80
80 68
67 61
61 2
28 15
15 46
59 31
1 60
60 36
43 44
43 19
44 72
19 59
19 25
81 82
81 4
57 70
70 30
73 58
24 74
74 16
4 62
4 45
62 6
45 5
18 56
56 37
55 26
26 71
63 64
64 16
5 24
5 14
16 35
35 65
68 1
21 13
53 48
48 54
54 22
30 9
27 11
72 28
23 39
39 41
39 75
0 67
82 23
50 7
75 68
6 8
65 66
66 40
33 34
34 29
78 10
40 36
22 50
71 76
76 72
25 55
47 3
47 53
52 21
37 20
37 79
29 52
29 57
20 63
