Minimum level:3
Runtime (sec):0.5339855000
Support network with minimum level
46 7
31 71
31 24
71 72
24 29
23 80
80 55
79 35
35 49
64 66
66 70
72 66
62 9
28 19
19 10
15 23
69 18
18 32
70 40
0 2
2 33
2 27
49 50
49 36
50 51
36 25
55 74
74 56
73 64
4 68
68 59
75 76
76 63
56 40
77 78
78 54
53 26
26 5
17 38
38 61
43 44
44 13
59 60
60 48
29 8
39 77
39 79
22 1
25 53
25 16
21 67
67 75
32 22
48 30
30 17
47 30
51 15
34 46
45 62
61 57
57 20
37 11
37 52
52 43
65 69
5 45
5 28
27 4
20 65
42 58
58 12
10 41
10 42
33 3
33 34
3 6
3 47
41 37
6 39
6 21
16 31
63 73
54 14
40 54
