Minimum level:2
Runtime (sec):27.9494764000
Support network with minimum level
15 63
15 8
63 64
37 51
37 72
51 52
51 33
72 38
71 43
43 44
62 34
34 18
76 34
61 69
69 42
57 62
57 80
80 66
79 40
40 46
77 78
78 44
17 27
27 15
45 73
45 7
73 74
7 24
7 9
59 25
25 45
19 60
60 50
33 20
33 53
20 1
53 54
41 2
2 47
2 19
42 67
67 70
70 68
52 30
30 38
38 14
32 81
81 28
23 35
35 68
24 26
0 37
0 41
18 32
44 21
75 39
39 23
58 76
29 61
29 49
49 4
68 22
55 56
55 6
56 79
1 29
54 82
82 22
28 10
48 3
3 65
3 55
64 59
31 5
5 17
22 12
21 57
66 58
46 36
74 77
26 16
16 71
47 48
47 13
65 31
36 26
50 30
4 75
4 11
