Minimum level:1
Runtime (sec):1174.0750458000
Support network with minimum level
46 22
22 27
21 28
28 11
38 28
48 61
61 23
56 76
76 77
75 54
54 10
53 2
2 43
2 33
27 38
25 51
51 58
55 56
55 3
3 65
74 75
39 49
39 19
49 40
19 18
9 45
9 14
45 60
45 15
0 53
59 48
60 46
15 37
73 41
41 42
31 74
42 34
81 82
82 12
79 80
80 66
32 16
16 63
62 73
35 79
5 36
5 47
36 21
47 59
47 81
70 29
29 30
68 62
23 1
64 72
72 26
71 24
24 35
17 57
57 69
57 31
18 67
4 20
20 7
69 70
58 13
7 52
7 9
52 17
65 44
77 78
77 64
78 26
63 50
50 8
40 71
37 25
30 5
33 4
34 32
66 68
67 68
43 55
44 39
26 6
