Minimum level:3
Runtime (sec):0.3146736000
Support network with minimum level
70 26
26 73
19 20
20 66
0 27
27 1
27 91
50 38
38 51
37 47
47 23
55 5
55 78
78 60
77 70
25 54
54 3
53 35
35 48
23 39
39 12
39 52
75 24
24 50
84 76
76 10
48 72
67 36
36 68
68 58
60 86
79 89
89 90
16 4
4 61
28 84
83 90
90 74
22 80
80 17
63 7
63 64
7 37
7 67
64 43
81 82
82 15
43 57
57 44
72 21
71 72
41 42
42 13
31 34
34 56
73 18
18 16
74 31
66 88
88 40
87 65
65 69
86 62
85 46
46 22
45 2
2 25
44 30
30 28
17 83
3 9
12 71
12 81
52 87
51 33
33 41
33 19
69 77
59 79
59 49
49 53
91 28
62 92
92 56
56 32
40 45
15 14
15 59
32 6
61 55
1 8
1 29
29 63
21 85
21 75
58 11
