Minimum level:3
Runtime (sec):0.1405244000
Support network with minimum level
78 28
28 18
80 28
2 21
21 4
21 53
61 26
26 97
15 62
62 73
18 16
16 58
27 25
25 59
25 81
79 80
79 95
95 88
91 63
63 98
4 92
4 19
92 18
19 42
93 55
55 71
41 94
94 46
42 86
23 22
22 43
32 24
24 44
60 56
56 31
66 56
58 8
84 52
52 47
33 11
59 61
59 83
81 85
81 82
86 29
29 20
77 89
89 90
39 78
50 40
40 45
85 30
30 49
20 57
49 50
99 100
100 32
45 51
51 84
57 39
74 70
70 67
69 7
7 41
7 33
82 99
1 35
35 36
53 77
53 23
37 5
37 38
38 34
47 76
76 48
75 65
65 74
48 54
3 10
10 14
17 69
17 27
43 93
44 64
54 96
90 17
36 90
64 37
98 6
97 15
0 2
0 1
87 9
88 13
96 87
34 12
68 34
71 72
72 79
67 66
67 68
73 3
83 60
46 75
31 91
