Minimum level:3
Runtime (sec):45.7984756000
Support network with minimum level
4 19
4 37
19 20
19 5
37 69
0 15
0 1
15 2
15 25
1 61
69 26
63 38
38 18
30 64
64 18
41 71
71 3
51 52
52 42
47 48
48 32
45 46
46 65
67 68
68 11
5 16
16 35
42 43
70 40
40 27
74 40
6 29
29 8
20 23
73 47
50 74
17 12
33 34
34 39
21 22
22 6
57 58
57 49
58 9
49 50
31 4
59 60
60 72
8 28
8 57
28 44
27 10
27 59
54 67
44 45
43 21
72 36
36 32
65 66
66 30
39 70
26 33
25 56
56 54
55 17
53 24
24 55
35 73
23 7
23 53
62 31
32 63
18 13
61 62
61 41
2 51
2 14
