Minimum level:5
Runtime (sec):0.8728464000
Support network with minimum level
52 80
80 13
79 64
64 45
39 64
47 40
40 9
16 48
48 30
30 14
59 74
74 60
73 77
77 62
32 62
62 11
86 78
78 59
33 41
33 25
41 87
41 42
25 85
50 24
24 60
23 52
56 52
0 1
0 27
1 67
1 35
27 2
27 63
44 20
20 47
71 72
72 70
21 88
88 75
87 34
34 54
4 44
43 21
29 28
28 49
85 86
68 29
82 32
45 46
46 26
84 56
51 50
49 69
69 19
75 53
53 22
70 76
76 65
15 33
15 43
26 3
36 26
2 4
2 36
35 31
31 15
31 39
19 55
19 38
55 51
55 57
38 71
37 10
57 58
58 8
83 84
17 18
18 12
81 82
61 73
61 68
67 6
12 23
65 16
60 66
66 5
54 37
63 79
63 61
42 22
3 7
22 81
8 83
8 17
